[s]	o	p
gcmin:almandine	rdf:type	skos:Concept
gcmin:almandine	gcmin:rruffchemistry	Fe<sup>2+</sup><sub>3</sub>Al<sub>2</sub>(SiO<sub>4</sub>)<sub>3</sub>
gcmin:almandine	gcmin:localitycount	2885
gcmin:almandine	gcmin:strunzlabel	Nesosilicate without additional anions; cations in [6] and/or greater coordination
gcmin:almandine	gcmin:rruffnamehtml	Almandine
gcmin:almandine	gcmin:strunzcodeV10	09.AD.25
gcmin:almandine	gcmin:fleischersgroup	garnet
gcmin:almandine	skos:prefLabel	Almandine
gcmin:almandine	skos:exactMatch	<https://www.mindat.org/1:1:452:5>
gcmin:almandine	rdfs:label	Almandine
gcmin:almandine	gcmin:rruffnameplain	Almandine
gcmin:almandine	gcmin:mindaturl	http://www.mindat.org/min-452.html
gcmin:almandine	skos:inScheme	gcmin:conceptScheme
gcmin:almandine	gcmin:rruffids	R040076 | R040079 | R040168 | R050029 | R060099 | R060450 | R070129 | R100046 | R120145 | R120152
gcmin:almandine	gcmin:imastatus	Grandfathered|Approved
gcmin:almandine	skos:exactMatch	<http://www.wikidata.org/entity/Q273663>
gcmin:almandine	gcmin:webmineralurl	http://www.webmineral.com/data/Almandine.shtml
gcmin:almandine	gcmin:chemistryelements	Fe | Al | Si | O
gcmin:almandine	gcmin:crystalsystem	cubic
gcmin:altaite	gcmin:fleischersgroup	galena
gcmin:altaite	gcmin:iupacchemname	IUPAC: Lead telluride
gcmin:altaite	rdfs:label	Altaite
gcmin:altaite	gcmin:rruffids	R060939
gcmin:altaite	gcmin:chemistryelements	Pb | Te
gcmin:altaite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/altaite.pdf
gcmin:altaite	skos:exactMatch	<http://www.wikidata.org/entity/Q416672>
gcmin:altaite	gcmin:rruffchemistry	Pb<sup>2+</sup>Te<sup>2-</sup>
gcmin:altaite	gcmin:webmineralurl	http://www.webmineral.com/data/Altaite.shtml
gcmin:altaite	gcmin:mindaturl	http://www.mindat.org/min-147.html
gcmin:altaite	gcmin:rruffnameplain	Altaite
gcmin:altaite	skos:exactMatch	gsqmin:altaite
gcmin:altaite	gcmin:strunzlabel	"Metal sulfide (M = S) with Sn, Pb, Hg, etc."
gcmin:altaite	gcmin:strunzcodeV10	02.CD.10
gcmin:altaite	skos:inScheme	gcmin:conceptScheme
gcmin:altaite	skos:prefLabel	Altaite
gcmin:altaite	gcmin:imastatus	Grandfathered|Approved
gcmin:altaite	gcmin:structuralgroup	Rocksalt
gcmin:altaite	gcmin:imachemistry	PbTe
gcmin:altaite	gcmin:mindatid	min-147
gcmin:altaite	gcmin:statusnotes	"Haidinger W (1845) Zweite Klasse: Geogenide. XII. Ordung. Metalle. II. Tellur. Altait, in Handbuch der Bestimmenden Mineralogie, Bei Braum?ller and Seidel (Wien) 556-559"
gcmin:altaite	gcmin:wikipediadate	1845
gcmin:altaite	gcmin:localitycount	666
gcmin:altaite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/40331>
gcmin:altaite	gcmin:rruffnamehtml	Altaite
gcmin:altaite	skos:exactMatch	<https://www.mindat.org/1:1:147:6>
gcmin:altaite	rdf:type	skos:Concept
gcmin:altaite	gcmin:crystalsystem	cubic
gcmin:aluminosilicate	skos:narrower	gcmin:andalusite
gcmin:aluminosilicate	gcmin:mindatid	min-55563
gcmin:aluminosilicate	gcmin:localitycount	85949
gcmin:aluminosilicate	dcterm:source	gcmin:SMRadditions
gcmin:aluminosilicate	gcmin:mindaturl	https://www.mindat.org/min-55563.html
gcmin:aluminosilicate	skos:narrower	<https://w3id.org/geochem/1.0/mingroup/6728>
gcmin:aluminosilicate	skos:narrower	gcmin:kyanite
gcmin:aluminosilicate	skos:narrower	<https://w3id.org/geochem/1.0/mingroup/1624>
gcmin:aluminosilicate	skos:prefLabel	Aluminosilicate mineral
gcmin:aluminosilicate	skos:narrower	<https://w3id.org/geochem/1.0/mingroup/4395>
gcmin:aluminosilicate	rdfs:label	Aluminosilicate mineral
gcmin:aluminosilicate	skos:narrower	gcmin:mullite
gcmin:aluminosilicate	skos:exactMatch	<https://www.mindat.org/1:1:55563:0>
gcmin:aluminosilicate	skos:inScheme	gcmin:conceptScheme
gcmin:aluminosilicate	rdf:type	skos:Concept
gcmin:aluminosilicate	skos:broader	strunz:s09
gcmin:aluminosilicate	skos:narrower	gcmin:sillimanite
gcmin:alunite	gcmin:structuralgroup	Alunite-Alunite
gcmin:alunite	rdf:type	skos:Concept
gcmin:alunite	gcmin:localitycount	1285
gcmin:alunite	gcmin:webmineralurl	http://www.webmineral.com/data/Alunite.shtml
gcmin:alunite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/39819>
gcmin:alunite	gcmin:statusnotes	"Originally called alumen de Tolpha: Gesner C (1565) Alumen, in De omni rerum fossilium genere, gemmis, lapidibus, metallis, et huiusmodi, libri aliquot, plerique nunc primum editi, Excudebat Iacobus Gesnerus 11-13 The mineral was named alunite in this publication: Beudant F S (1824) 22e esp?ce. Alunite., in Trait? ?l?mentaire de Min?ralogie, Chez Verdi?re, Libraire (Paris) 449-450"
gcmin:alunite	gcmin:rruffnamehtml	Alunite
gcmin:alunite	rdfs:label	Alunite
gcmin:alunite	gcmin:chemistryelements	K | Al | S | O | H
gcmin:alunite	gcmin:mindatid	min-161
gcmin:alunite	gcmin:rruffids	R060430 | R070448
gcmin:alunite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/alunite.pdf
gcmin:alunite	gcmin:crystalsystem	hexagonal
gcmin:alunite	gcmin:wikipediadate	1565
gcmin:alunite	gcmin:imastatus	Approved|Redefined
gcmin:alunite	gcmin:strunzcodeV10	07.BC.10
gcmin:alunite	gcmin:iupacchemname	IUPAC: Potassium trialuminium disulfate hexahydroxyl
gcmin:alunite	gcmin:rruffnameplain	Alunite
gcmin:alunite	gcmin:rruffchemistry	KAl<sub>3</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>
gcmin:alunite	gcmin:mindaturl	http://www.mindat.org/min-161.html
gcmin:alunite	skos:prefLabel	Alunite
gcmin:alunite	skos:exactMatch	<https://www.mindat.org/1:1:161:6>
gcmin:alunite	skos:inScheme	gcmin:conceptScheme
gcmin:alunite	gcmin:fleischersgroup	alunite-jarosite-alunite subgroup
gcmin:alunite	skos:exactMatch	gsqmin:alunite
gcmin:alunite	skos:exactMatch	<http://www.wikidata.org/entity/Q338106>
gcmin:alunite	gcmin:imachemistry	KAl<sub>3</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>
gcmin:alunite	gcmin:strunzlabel	"Sulfate, selenate, etc. with additional anions, without H2O, With medium-sized and large cations"
gcmin:analcime	gcmin:imachemistry	Na(AlSi<sub>2</sub>O<sub>6</sub>)?H<sub>2</sub>O
gcmin:analcime	gcmin:mindaturl	http://www.mindat.org/min-210.html
gcmin:analcime	gcmin:strunzcodeV10	09.GB.05
gcmin:analcime	gcmin:chemistryelements	Na | Al | Si | O | H
gcmin:analcime	gcmin:webmineralurl	http://www.webmineral.com/data/Analcime.shtml
gcmin:analcime	gcmin:strunzlabel	Zeolite family: Chains of single connected 4-membered rings
gcmin:analcime	gcmin:imastatus	Approved
gcmin:analcime	gcmin:rruffnamehtml	Analcime
gcmin:analcime	gcmin:fleischersgroup	zeolite
gcmin:analcime	gcmin:crystalsystem	"tetragonal, cubic, monoclinic, orthorhombic, hexagonal"
gcmin:analcime	skos:broader	strunz:s09_GB
gcmin:analcime	gcmin:rruffchemistry	NaAlSi<sub>2</sub>O<sub>6</sub>?H<sub>2</sub>O
gcmin:analcime	rdf:type	skos:Concept
gcmin:analcime	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/analcime.pdf
gcmin:analcime	skos:exactMatch	gsqmin:analcime
gcmin:analcime	gcmin:rruffids	R040128 | R050094 | R060023 | R120095
gcmin:analcime	skos:prefLabel	Analcime
gcmin:analcime	skos:exactMatch	<https://www.mindat.org/1:1:210:1>
gcmin:analcime	skos:inScheme	gcmin:conceptScheme
gcmin:analcime	gcmin:localitycount	2328
gcmin:analcime	gcmin:rruffnameplain	Analcime
gcmin:analcime	skos:exactMatch	<http://www.wikidata.org/entity/Q239589>
gcmin:analcime	skos:broader	<https://w3id.org/geochem/1.0/mingroup/4395>
gcmin:analcime	rdfs:label	Analcime
gcmin:analcime	gcmin:wikipediadate	1797
gcmin:analcime	gcmin:statusnotes	"Ha?y R J (1797) Analcime, Journal des Mines 5, 278-279"
gcmin:analcime	gcmin:mindatid	min-210
gcmin:anatase	skos:exactMatch	<http://www.wikidata.org/entity/Q413357>
gcmin:anatase	skos:inScheme	gcmin:conceptScheme
gcmin:anatase	gcmin:rruffnamehtml	Anatase
gcmin:anatase	gcmin:rruffchemistry	Ti<sup>4+</sup>O<sub>2</sub>
gcmin:anatase	gcmin:iupacchemname	IUPAC: Titanium dioxide
gcmin:anatase	gcmin:localitycount	2734
gcmin:anatase	gcmin:webmineralurl	http://www.webmineral.com/data/Anatase.shtml
gcmin:anatase	gcmin:statusnotes	"Ha?y R J (1801) Anatase, Trait? de Min?ralogie 3, 129-136"
gcmin:anatase	gcmin:mindatid	min-213
gcmin:anatase	gcmin:chemistryelements	Ti | O
gcmin:anatase	gcmin:rruffids	R060277 | R070582 | R120013 | R120064
gcmin:anatase	gcmin:mindaturl	http://www.mindat.org/min-213.html
gcmin:anatase	skos:exactMatch	gsqmin:anatase
gcmin:anatase	rdfs:label	Anatase
gcmin:anatase	gcmin:crystalsystem	tetragonal
gcmin:anatase	gcmin:imachemistry	TiO<sub>2</sub>
gcmin:anatase	skos:exactMatch	<https://www.mindat.org/1:1:213:8>
gcmin:anatase	gcmin:strunzcodeV10	04.DD.05
gcmin:anatase	skos:prefLabel	Anatase
gcmin:anatase	gcmin:imastatus	Approved
gcmin:anatase	gcmin:rruffnameplain	Anatase
gcmin:anatase	skos:broader	strunz:s04_DD
gcmin:anatase	gcmin:strunzlabel	"Oxide, Metal: Oxygen = 1:2 and similar, With medium-sized cations; frameworks of edge-sharing octahedra"
gcmin:anatase	rdf:type	skos:Concept
gcmin:anatase	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/anatase.pdf
gcmin:anatase	gcmin:wikipediadate	1801
gcmin:andalusite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/andalusite.pdf
gcmin:andalusite	skos:exactMatch	<https://www.mindat.org/1:1:217:4>
gcmin:andalusite	gcmin:strunzlabel	"Nesosilicate with additional anions; cations in [4], [5] and/or only [6] coordination"
gcmin:andalusite	gcmin:wikipediadate	1798
gcmin:andalusite	gcmin:mindaturl	http://www.mindat.org/min-217.html
gcmin:andalusite	gcmin:chemistryelements	Al | Si | O
gcmin:andalusite	gcmin:structuralgroup	Andalusite
gcmin:andalusite	gcmin:rruffnamehtml	Andalusite
gcmin:andalusite	gcmin:imachemistry	Al<sub>2</sub>SiO<sub>5</sub>
gcmin:andalusite	skos:broader	gcmin:aluminosilicate
gcmin:andalusite	gcmin:localitycount	1602
gcmin:andalusite	gcmin:strunzcodeV10	09.AF.10
gcmin:andalusite	gcmin:rruffchemistry	Al<sub>2</sub>SiO<sub>5</sub>
gcmin:andalusite	gcmin:mindatid	min-217
gcmin:andalusite	skos:broader	strunz:s09_AF
gcmin:andalusite	gcmin:fleischersgroup	andalusite
gcmin:andalusite	gcmin:webmineralurl	http://www.webmineral.com/data/Andalusite.shtml
gcmin:andalusite	gcmin:statusnotes	"Delam?therie J C (1798) Sur une pierre de l'andalousie, Journal de Physique, de Chimie et d'Histoire Naturelle et des Arts 46, 386-387"
gcmin:andalusite	gcmin:rruffnameplain	Andalusite
gcmin:andalusite	skos:prefLabel	Andalusite
gcmin:andalusite	rdf:type	skos:Concept
gcmin:andalusite	rdfs:label	Andalusite
gcmin:andalusite	gcmin:rruffids	R050258 | R050449 | R050561 | R050626 | R060197 | R060212
gcmin:andalusite	skos:exactMatch	gsqmin:andalusite
gcmin:andalusite	skos:exactMatch	<http://www.wikidata.org/entity/Q192637>
gcmin:andalusite	gcmin:crystalsystem	orthorhombic
gcmin:andalusite	gcmin:imastatus	Grandfathered|Approved
gcmin:andalusite	skos:inScheme	gcmin:conceptScheme
gcmin:andradite	gcmin:mindatid	min-223
gcmin:andradite	gcmin:webmineralurl	http://www.webmineral.com/data/Andradite.shtml
gcmin:andradite	rdfs:label	Andradite
gcmin:andradite	gcmin:mindaturl	http://www.mindat.org/min-223.html
gcmin:andradite	gcmin:wikipediadate	1800
gcmin:andradite	gcmin:imastatus	Grandfathered|Approved
gcmin:andradite	gcmin:imachemistry	Ca<sub>3</sub>Fe<sup>3+</sup><sub>2</sub>(SiO<sub>4</sub>)<sub>3</sub>
gcmin:andradite	gcmin:rruffnamehtml	Andradite
gcmin:andradite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/andradite.pdf
gcmin:andradite	gcmin:chemistryelements	Ca | Fe | Si | O
gcmin:andradite	rdf:type	skos:Concept
gcmin:andradite	gcmin:rruffnameplain	Andradite
gcmin:andradite	gcmin:statusnotes	"Dana J D, Brush G J (1868) E. Lime-Irongarnet; Andradite, in A System of Mineralogy, Fifth Edition, John Wiley and Sons (New York) 268-270"
gcmin:andradite	skos:broader	gcmin:calc-silicatemineral
gcmin:andradite	gcmin:strunzlabel	Nesosilicate without additional anions; cations in [6] and/or greater coordination
gcmin:andradite	skos:exactMatch	gsqmin:andradite
gcmin:andradite	skos:exactMatch	<http://www.wikidata.org/entity/Q280913>
gcmin:andradite	gcmin:structuralgroup	Garnet
gcmin:andradite	skos:exactMatch	<https://www.mindat.org/1:1:223:5>
gcmin:andradite	skos:prefLabel	Andradite
gcmin:andradite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/10272>
gcmin:andradite	skos:inScheme	gcmin:conceptScheme
gcmin:andradite	gcmin:rruffchemistry	Ca<sub>3</sub>Fe<sup>3+</sup><sub>2</sub>(SiO<sub>4</sub>)<sub>3</sub>
gcmin:andradite	gcmin:strunzcodeV10	09.AD.25
gcmin:andradite	gcmin:crystalsystem	"cubic, triclinic"
gcmin:andradite	gcmin:fleischersgroup	garnet
gcmin:andradite	gcmin:localitycount	2046
gcmin:andradite	gcmin:rruffids	R040001 | R050256 | R050311 | R050377 | R060358 | R060350 | R060326 | R060423 | R060449 | R070722 | R100049 | R100138 | R120004
gcmin:anglesite	gcmin:rruffchemistry	Pb<sup>2+</sup>S<sup>6+</sup>O<sub>4</sub>
gcmin:anglesite	gcmin:imachemistry	Pb(SO<sub>4</sub>)
gcmin:anglesite	gcmin:rruffnamehtml	Anglesite
gcmin:anglesite	gcmin:statusnotes	"Beudant F S (1832) Anglesite, plomb sulfat?, in Trait? ?l?mentaire de Min?ralogie, 2nd Edition, (Paris) 459-460"
gcmin:anglesite	gcmin:wikipediadate	1832
gcmin:anglesite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/29275>
gcmin:anglesite	gcmin:strunzcodeV10	07.AD.35
gcmin:anglesite	gcmin:chemistryelements	Pb | S | O
gcmin:anglesite	skos:prefLabel	Anglesite
gcmin:anglesite	skos:broader	strunz:s07_AD
gcmin:anglesite	gcmin:imastatus	Grandfathered|Approved
gcmin:anglesite	gcmin:webmineralurl	http://www.webmineral.com/data/Anglesite.shtml
gcmin:anglesite	skos:exactMatch	<http://www.wikidata.org/entity/Q156526>
gcmin:anglesite	rdf:type	skos:Concept
gcmin:anglesite	gcmin:fleischersgroup	celestine
gcmin:anglesite	gcmin:strunzlabel	"Sulfate, selenate, etc. without additional anions, without H2O, With only large cations"
gcmin:anglesite	rdfs:label	Anglesite
gcmin:anglesite	gcmin:localitycount	3348
gcmin:anglesite	gcmin:crystalsystem	orthorhombic
gcmin:anglesite	gcmin:rruffnameplain	Anglesite
gcmin:anglesite	skos:inScheme	gcmin:conceptScheme
gcmin:anglesite	gcmin:rruffids	R040004 | R050052 | R050408
gcmin:anglesite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/anglesite.pdf
gcmin:anglesite	gcmin:mindatid	min-233
gcmin:anglesite	gcmin:iupacchemname	IUPAC: Lead sulfate
gcmin:anglesite	gcmin:mindaturl	http://www.mindat.org/min-233.html
gcmin:anglesite	skos:exactMatch	<https://www.mindat.org/1:1:233:2>
gcmin:anglesite	gcmin:structuralgroup	Baryte
gcmin:anglesite	skos:exactMatch	gsqmin:anglesite
gcmin:anhydrite	gcmin:mindatid	min-234
gcmin:anhydrite	gcmin:rruffnameplain	Anhydrite
gcmin:anhydrite	gcmin:wikipediadate	1795
gcmin:anhydrite	gcmin:statusnotes	"Ludwig C F (1804) A. G. Werners Mineral - System, Erste Klasse Erdige Fossilien, VI. Kalk - Geschlecht, in Handbuch der Mineralogie nach A. G. Werner Volume 2, Siegfried Lebrecht Crusius (Leipzig) 209-212"
gcmin:anhydrite	skos:exactMatch	gsqmin:anhydrite
gcmin:anhydrite	gcmin:localitycount	1981
gcmin:anhydrite	gcmin:rruffchemistry	CaS<sup>6+</sup>O<sub>4</sub>
gcmin:anhydrite	skos:inScheme	gcmin:conceptScheme
gcmin:anhydrite	gcmin:imastatus	Grandfathered|Approved
gcmin:anhydrite	gcmin:strunzlabel	"Sulfate, selenate, etc. without additional anions, without H2O, With only large cations"
gcmin:anhydrite	gcmin:webmineralurl	http://www.webmineral.com/data/Anhydrite.shtml
gcmin:anhydrite	rdfs:label	Anhydrite
gcmin:anhydrite	gcmin:chemistryelements	Ca | S | O
gcmin:anhydrite	skos:prefLabel	Anhydrite
gcmin:anhydrite	gcmin:mindaturl	http://www.mindat.org/min-234.html
gcmin:anhydrite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/anhydrite.pdf
gcmin:anhydrite	skos:exactMatch	<https://www.mindat.org/1:1:234:1>
gcmin:anhydrite	skos:broader	strunz:s07_AD
gcmin:anhydrite	rdf:type	skos:Concept
gcmin:anhydrite	gcmin:iupacchemname	IUPAC: Anhydrous calcium sulfate
gcmin:anhydrite	gcmin:crystalsystem	orthorhombic
gcmin:anhydrite	gcmin:strunzcodeV10	07.AD.30
gcmin:anhydrite	gcmin:imachemistry	Ca(SO<sub>4</sub>)
gcmin:anhydrite	skos:exactMatch	<http://www.wikidata.org/entity/Q105439>
gcmin:anhydrite	gcmin:rruffnamehtml	Anhydrite
gcmin:anhydrite	gcmin:rruffids	R040012 | R040061 | R061102
gcmin:ankerite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/29288>
gcmin:ankerite	skos:prefLabel	Ankerite
gcmin:ankerite	gcmin:fleischersgroup	dolomite
gcmin:ankerite	rdfs:label	Ankerite
gcmin:ankerite	gcmin:webmineralurl	http://www.webmineral.com/data/Ankerite.shtml
gcmin:ankerite	gcmin:wikipediadate	1825
gcmin:ankerite	rdf:type	skos:Concept
gcmin:ankerite	gcmin:imachemistry	"Ca(Fe<sup>2+</sup>,Mg)(CO<sub>3</sub>)<sub>2</sub>"
gcmin:ankerite	gcmin:rruffnameplain	Ankerite
gcmin:ankerite	gcmin:crystalsystem	hexagonal
gcmin:ankerite	gcmin:strunzlabel	"Carbonate without additional anions, without H2O, Alkali-earth (and other M2+) carbonates"
gcmin:ankerite	gcmin:mindatid	min-239
gcmin:ankerite	gcmin:rruffnamehtml	Ankerite
gcmin:ankerite	gcmin:mindaturl	http://www.mindat.org/min-239.html
gcmin:ankerite	gcmin:iupacchemname	IUPAC: Calcium ironII dicarbonate
gcmin:ankerite	skos:inScheme	gcmin:conceptScheme
gcmin:ankerite	gcmin:imastatus	Grandfathered|Approved
gcmin:ankerite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/ankerite.pdf
gcmin:ankerite	gcmin:rruffids	R050181 | R050197
gcmin:ankerite	gcmin:localitycount	3899
gcmin:ankerite	skos:exactMatch	gsqmin:ankerite
gcmin:ankerite	gcmin:strunzcodeV10	05.AB.10
gcmin:ankerite	gcmin:rruffchemistry	CaFe<sup>2+</sup>(CO<sub>3</sub>)<sub>2</sub>
gcmin:ankerite	gcmin:structuralgroup	Dolomite
gcmin:ankerite	gcmin:chemistryelements	Ca | Fe | C | O
gcmin:ankerite	skos:exactMatch	<https://www.mindat.org/1:1:239:6>
gcmin:ankerite	gcmin:statusnotes	"Mineral is named: Mohs F (1825) Characters of the genera and species of the orders of class II. I. Order. Haloide. V. Lime-haloide. 4. Paratomous. Ankerite, in Treatise on Mineralogy Vol I, translated by Haidinger, Archibald and Co. (Edinburgh) 411-411 Mineral is described: Mohs F (1825) Paratomous lime-haloide, in Treatise on Mineralogy Vol II, translated by Haidinger, Archibald and Co. (Edinburgh) 100-101"
gcmin:ankerite	skos:exactMatch	<http://www.wikidata.org/entity/Q120481>
gcmin:annabergite	gcmin:fleischersgroup	vivianite
gcmin:annabergite	gcmin:statusnotes	"Phillips W, Brooke H J, Miller W H (1852) Annabergite, in An Elementary Introduction to Mineralogy, Longman, Brown, Green, and Longman (London) 503-504"
gcmin:annabergite	skos:exactMatch	<https://www.mindat.org/1:1:240:2>
gcmin:annabergite	gcmin:crystalsystem	monoclinic
gcmin:annabergite	skos:exactMatch	gsqmin:annabergite
gcmin:annabergite	gcmin:chemistryelements	Ni | As | O | H
gcmin:annabergite	gcmin:webmineralurl	http://www.webmineral.com/data/Annabergite.shtml
gcmin:annabergite	gcmin:iupacchemname	IUPAC: Trinickel diarsenate octahydrate
gcmin:annabergite	gcmin:rruffids	R050462 | R060564
gcmin:annabergite	rdf:type	skos:Concept
gcmin:annabergite	rdfs:label	Annabergite
gcmin:annabergite	gcmin:strunzlabel	"Phosphate, etc. without additional anions, with H2O, With only medium-sized cations, RO4:H2O about 1:2.5"
gcmin:annabergite	gcmin:rruffnamehtml	Annabergite
gcmin:annabergite	skos:inScheme	gcmin:conceptScheme
gcmin:annabergite	gcmin:mindatid	min-240
gcmin:annabergite	gcmin:localitycount	532
gcmin:annabergite	gcmin:strunzcodeV10	08.CE.40
gcmin:annabergite	skos:exactMatch	<http://www.wikidata.org/entity/Q414149>
gcmin:annabergite	gcmin:rruffchemistry	Ni<sup>2+</sup><sub>3</sub>(As<sup>5+</sup>O<sub>4</sub>)<sub>2</sub>?8H<sub>2</sub>O
gcmin:annabergite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/29342>
gcmin:annabergite	gcmin:imachemistry	Ni<sub>3</sub>(AsO<sub>4</sub>)<sub>2</sub>?8H<sub>2</sub>O
gcmin:annabergite	skos:prefLabel	Annabergite
gcmin:annabergite	gcmin:rruffnameplain	Annabergite
gcmin:annabergite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/annabergite.pdf
gcmin:annabergite	gcmin:imastatus	Grandfathered|Approved
gcmin:annabergite	gcmin:wikipediadate	1852
gcmin:annabergite	gcmin:structuralgroup	Vivianite
gcmin:annabergite	gcmin:mindaturl	http://www.mindat.org/min-240.html
gcmin:annite	gcmin:rruffids	R060204 | R060211
gcmin:annite	gcmin:localitycount	474
gcmin:annite	skos:inScheme	gcmin:conceptScheme
gcmin:annite	gcmin:mindatid	min-241
gcmin:annite	gcmin:strunzcodeV10	09.EC.20
gcmin:annite	skos:prefLabel	Annite
gcmin:annite	gcmin:wikipediadate	1868
gcmin:annite	gcmin:fleischersgroup	mica-true micas
gcmin:annite	gcmin:strunzlabel	"Phyllosilicate with mica sheets, composed of tetrahedral and octahedral nets"
gcmin:annite	gcmin:imastatus	Approved
gcmin:annite	gcmin:crystalsystem	monoclinic
gcmin:annite	rdf:type	skos:Concept
gcmin:annite	gcmin:rruffnamehtml	Annite
gcmin:annite	gcmin:chemistryelements	K | Fe | Al | Si | O | H
gcmin:annite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/annite.pdf
gcmin:annite	skos:exactMatch	gsqmin:annite
gcmin:annite	rdfs:label	Annite
gcmin:annite	skos:exactMatch	<https://www.mindat.org/1:1:241:1>
gcmin:annite	gcmin:statusnotes	"Dana J D, Brush G J (1868) 291. Annite, in A System of Mineralogy, Fifth Edition, John Wiley and Sons (New York) 308-308"
gcmin:annite	skos:exactMatch	<http://www.wikidata.org/entity/Q3618110>
gcmin:annite	gcmin:rruffnameplain	Annite
gcmin:annite	gcmin:rruffchemistry	KFe<sup>2+</sup><sub>3</sub>AlSi<sub>3</sub>O<sub>10</sub>(OH)<sub>2</sub>
gcmin:annite	gcmin:imachemistry	KFe<sup>2+</sup><sub>3</sub>(AlSi<sub>3</sub>O<sub>10</sub>)(OH)<sub>2</sub>
gcmin:annite	gcmin:structuralgroup	Clay
gcmin:annite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/677>
gcmin:annite	gcmin:webmineralurl	http://www.webmineral.com/data/Annite.shtml
gcmin:annite	gcmin:mindaturl	http://www.mindat.org/min-241.html
gcmin:anorthite	gcmin:imachemistry	Ca(Al<sub>2</sub>Si<sub>2</sub>O<sub>8</sub>)
gcmin:anorthite	skos:exactMatch	<https://www.mindat.org/1:1:246:6>
gcmin:anorthite	gcmin:chemistryelements	Ca | Al | Si | O
gcmin:anorthite	gcmin:strunzcodeV10	09.FA.35
gcmin:anorthite	gcmin:structuralgroup	Feldspar
gcmin:anorthite	skos:exactMatch	<http://www.wikidata.org/entity/Q244994>
gcmin:anorthite	gcmin:localitycount	1527
gcmin:anorthite	gcmin:webmineralurl	http://www.webmineral.com/data/Anorthite.shtml
gcmin:anorthite	gcmin:rruffnameplain	Anorthite
gcmin:anorthite	skos:prefLabel	Anorthite
gcmin:anorthite	gcmin:rruffnamehtml	Anorthite
gcmin:anorthite	skos:broader	gcmin:calc-silicatemineral
gcmin:anorthite	gcmin:wikipediadate	1824
gcmin:anorthite	rdf:type	skos:Concept
gcmin:anorthite	gcmin:mindaturl	http://www.mindat.org/min-246.html
gcmin:anorthite	gcmin:rruffids	R040059 | R050104 | R060082 | R060193 | R060221 | R060275 | R070510 | R070598 | R100170 | R130296
gcmin:anorthite	gcmin:rruffchemistry	CaAl<sub>2</sub>Si<sub>2</sub>O<sub>8</sub>
gcmin:anorthite	skos:inScheme	gcmin:conceptScheme
gcmin:anorthite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/anorthite.pdf
gcmin:anorthite	gcmin:crystalsystem	"triclinic, unknown"
gcmin:anorthite	rdfs:label	Anorthite
gcmin:anorthite	gcmin:strunzlabel	Tektosilicate without additional non-tetrahedral anions
gcmin:anorthite	gcmin:fleischersgroup	feldspar
gcmin:anorthite	skos:broader	gcmin:calcicplagioclase
gcmin:anorthite	gcmin:statusnotes	"Rose G (1823) Ueber den Feldspath, Albit, Labrador und Anorthit, Annalen der Physik und der Physikalischen Chemie 73, 173-208"
gcmin:anorthite	skos:exactMatch	gsqmin:anorthite
gcmin:anorthite	gcmin:mindatid	min-246
gcmin:anorthite	gcmin:imastatus	Grandfathered|Approved
gcmin:anthophyllite	gcmin:crystalsystem	orthorhombic
gcmin:anthophyllite	skos:exactMatch	<https://www.mindat.org/1:1:254:5>
gcmin:anthophyllite	rdf:type	skos:Concept
gcmin:anthophyllite	gcmin:chemistryelements	Mg | Si | O | H
gcmin:anthophyllite	gcmin:strunzcodeV10	09.DD.05
gcmin:anthophyllite	gcmin:rruffids	R070245
gcmin:anthophyllite	gcmin:localitycount	829
gcmin:anthophyllite	gcmin:imachemistry	"<span style=""border: 1px solid #333; font-size:7px;""> </span>Mg<sub>2</sub>Mg<sub>5</sub>Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>"
gcmin:anthophyllite	gcmin:rruffnamehtml	Anthophyllite
