databaseMethod,uri,label,Notation,essdmNOTATION
ION MICROPROBE ANALYSIS,meth:particlebeamexcitation,Particle beam excitation,xPBE,
ION SELECTIVE ELECTRODE,meth:ionsensitiveelectrodeanalysis,Ion sensitive electrode analysis,ISE,
ION SENSITIVE ELECTRODE,meth:ionsensitiveelectrodeanalysis,Ion sensitive electrode analysis,ISE,ISE
Ion sensitive electrode analysis,meth:ionsensitiveelectrodeanalysis,Ion sensitive electrode analysis,ISE,
IR-laser fluorination mass spectrometry,meth:laserfluorinationanalysis,Laser fluorination mass spectrometry,LAF,IRMS
ISOTHERMAL PLATEAU FISSION TRACK,meth:fissiontrackcounting,Fission track counting,FT,
ISOTHERMAL PLATEAU FISSION TRACK ANALYSIS,meth:fissiontrackcounting,Fission track counting,FT,
ISOTOPE DILUTION CHEMICAL ABRASION THERMAL-IONIZATION MASS SPECTROMETRY,meth:thermalionizationmassspectrometry,Thermal ionization mass spectrometry,TIMS,
Isotope ratio mass spectrometry,meth:isotoperatiomassspectrometry,Isotope ratio mass spectrometry,IRMS,
ISOTOPE-DILUTION ALPHA-SPECTROMETRY,meth:alphaparticlespectrometry,Alpha particle spectrometry,ALPHASPEC,
ISOTOPE-DILUTION HIGH-RESOLUTION INDUCTIVELY-COUPLED PLASMA MASS SPECTROMETRY,meth:highresolutioninductivelycoupledplasmamassspectrometry,High resolution inductively coupled plasma mass spectrometry,HRICPMS,
ISOTOPE-DILUTION INDUCTIVELY-COUPLED PLASMA MASS SPECTROMETRY,meth:inductivelycoupledplasmamassspectrometry,Inductively coupled plasma mass spectrometry,ICPMS,
ISOTOPE-DILUTION MASS SPECTROMETRY,meth:massspectrometry,Mass spectrometry,MS,
ISOTOPE-DILUTION MULTI-COLLECTOR INDUCTIVELY COUPLED PLASMA MASS SPECTROMETRY,meth:inductivelycoupledplasmamassspectrometry,Inductively coupled plasma mass spectrometry,ICPMS,
ISOTOPE-DILUTION MULTI-ION COUNTING SPARK-SOURCE MASS SPECTROMETRY,meth:sparksourcemassspectrometry,Spark source mass spectrometry,SSMS,
ISOTOPE-DILUTION NEGATIVE ION THERMAL-IONIZATION MASS SPECTROMETRY,meth:negativeionthermalionizationmassspectrometry,Negative ion thermal ionization mass spectrometry,NTIMS,
ISOTOPE-DILUTION PLASMA IONISATION MULTI-COLLECTOR MASS SPECTROMETRY,meth:inductivelycoupledplasmamassspectrometry,Inductively coupled plasma mass spectrometry,ICPMS,
ISOTOPE-DILUTION PLASMA IONISATION MULTI-COLLECTOR MASS SPECTROMETRY,meth:plasmasourcemassspectrometry,Plasma source mass spectrometry,PSMS,
ISOTOPE-DILUTION RESONANCE-IONIZATION MASS SPECTROMETRY,meth:laserionizationmassspectrometry,Laser ionization mass spectrometry,LIMS,
ISOTOPE-DILUTION SOLID-SOURCE MASS SPECTROMETRY,meth:solidsourcemassspectrometry,Solid source mass spectrometry,SOSMS,
ISOTOPE-DILUTION SPARK-SOURCE MASS SPECTROMETRY,meth:sparksourcemassspectrometry,Spark source mass spectrometry,SSMS,
ISOTOPE-DILUTION THERMAL-IONIZATION MASS SPECTROMETRY,meth:thermalionizationmassspectrometry,Thermal ionization mass spectrometry,TIMS,
ISOTOPE-RATIO MASS SPECTROMETRY,meth:massspectrometry,Mass spectrometry,MS,
LARGE ISOTOPE-DILUTION ION-PROBE ANALYSIS,meth:secondaryionizationmassspectrometry,Secondary ionization mass spectrometry,SIMS,
LA-RIMS,meth:laserablationresonanceionizationmassspectrometry,Laser ablation resonance ionization mass spectrometry,LA-RIMS,LA-RIMS
LASER ABLATION DOUBLE-FOCUSING MAGNETIC SECTOR FIELD INDUCTIVELY-COUPLED PLASMA MASS SPECTROMETRY,meth:laserablationinductivelycoupledplasmamassspectrometry,Laser ablation inductively coupled plasma mass spectrometry,LAICPMS,
Laser ablation inductively coupled plasma mass spectrometry,meth:laserablationinductivelycoupledplasmamassspectrometry,Laser ablation inductively coupled plasma mass spectrometry,LAICPMS,LA-ICPMS
LASER ABLATION INDUCTIVELY-COUPLED PLASMA MASS SPECTROMETRY,meth:laserablationinductivelycoupledplasmamassspectrometry,Laser ablation inductively coupled plasma mass spectrometry,LAICPMS,
Laser ablation mass spectrometry,meth:laserablationmassspectrometry,Laser ablation mass spectrometry,LAMS,
LASER ABLATION MICROPROBE INDUCTIVELY COUPLED PLASMA MASS SPECTROMETRY,meth:laserablationinductivelycoupledplasmamassspectrometry,Laser ablation inductively coupled plasma mass spectrometry,LAICPMS,LAMICP
LASER ABLATION MICROPROBE INDUCTIVELY-COUPLED PLASMA MASS SPECTROMETRY,meth:laserablationinductivelycoupledplasmamassspectrometry,Laser ablation inductively coupled plasma mass spectrometry,LAICPMS,
LASER ABLATION MICROPROBE MULTI-COLLECTOR INDUCTIVELY-COUPLED PLASMA MASS SPECTROMETRY,meth:laserablationinductivelycoupledplasmamassspectrometry,Laser ablation inductively coupled plasma mass spectrometry,LAICPMS,
LASER ABLATION MULTICOLLECTOR ICPMS,meth:laserablationinductivelycoupledplasmamassspectrometry,Laser ablation inductively coupled plasma mass spectrometry,LAICPMS,LA-MC-ICPMS
LASER ABLATION MULTI-COLLECTOR INDUCTIVELY COUPLED PLASMA MASS SPECTROMETRY,meth:laserablationinductivelycoupledplasmamassspectrometry,Laser ablation inductively coupled plasma mass spectrometry,LAICPMS,
LASER ABLATION PLASMA IONISATION MULTI-COLLECTOR MASS SPECTROMETRY,meth:laserablationinductivelycoupledplasmamassspectrometry,Laser ablation inductively coupled plasma mass spectrometry,LAICPMS,
LASER ABLATION QUADRUPOLE INDUCTIVELY COUPLED PLASMA MASS SPECTROMETRY,meth:laserablationinductivelycoupledplasmamassspectrometry,Laser ablation inductively coupled plasma mass spectrometry,LAICPMS,
laser ablation resonance ionisation mass spectrometer,meth:laserablationresonanceionizationmassspectrometry,Laser ablation resonance ionization mass spectrometry,LA-RIMS,
Laser ablation resonance ionization mass spectrometry ,meth:laserablationresonanceionizationmassspectrometry,Laser ablation resonance ionization mass spectrometry,LA-RIMS,
LASER ABLATION SPLIT STREAM MASS SPECTROMETRY,meth:lassmassspectrometry,Laser ablation split stream mass spectrometry ,LASS,
Laser ablation split stream mass spectrometry ,meth:lassmassspectrometry,Laser ablation split stream mass spectrometry ,LASS,
LASER ABLATION-INDUCTIVELY COUPLED PLASMA-TIME OF FLIGHT-MASS SPECROMETRY,meth:laserablationinductivelycoupledplasmamassspectrometry,Laser ablation inductively coupled plasma mass spectrometry,LAICPMS,LA-ICP-TOF-MS
LASER ABLATION-SPLIT STREAM,meth:lassmassspectrometry,Laser ablation split stream mass spectrometry ,LASS,
LASER ABLATION-SPLIT STREAM ANALYSIS,meth:lassmassspectrometry,Laser ablation split stream mass spectrometry ,LASS,
Laser absorption spectrometry,meth:laserabsorptionspectrometry,Laser absorption spectrometry,LWI,
Laser Assisted Fluorination for Bulk Oxygen Isotope Ratio Measurements,meth:laserfluorinationanalysis,Laser fluorination mass spectrometry,LAF,
LASER CONFOCAL-MICRORAMAN,meth:ramanspectrometry,Raman spectrometry,RAMAN,
LASER CONFOCAL-MICRORAMAN ANALYSIS,meth:ramanspectrometry,Raman spectrometry,RAMAN,
Laser fluorination analysis,meth:laserfluorinationanalysis,Laser fluorination mass spectrometry,LAF,
Laser fluorination mass spectrometry,meth:laserfluorinationanalysis,Laser fluorination mass spectrometry,LAF,
Laser Induced Breakdown Spectrometry,meth:laserinducedbreakdownspectrometry,Laser Induced Breakdown Spectrometry,LIBS,
Laser Induced Breakdown Spectroscopy,meth:laserinducedbreakdownspectrometry,Laser Induced Breakdown Spectrometry,LIBS,LIBS
Laser ionization mass spectrometry,meth:laserionizationmassspectrometry,Laser ionization mass spectrometry,LIMS,
LASER PLASMA IONIZATION MASS SPECTROMETRY,meth:laserionizationmassspectrometry,Laser ionization mass spectrometry,LIMS,
LASER PROBE MICROANALYSIS INDUCTIVELY-COUPLED PLASMA MASS SPECTROMETRY,meth:laserablationinductivelycoupledplasmamassspectrometry,Laser ablation inductively coupled plasma mass spectrometry,LAICPMS,
Laser Raman Microanalysis,meth:ramanspectrometry,Raman spectrometry,RAMAN,
LASER-MICROPROBE ANALYSIS,meth:laserablationmassspectrometry,Laser ablation mass spectrometry,LAMS,
LECO FURNACE,meth:lecofurnaceanalysis,LECO furnace analysis,LECO,
LECO furnace analysis,meth:lecofurnaceanalysis,LECO furnace analysis,LECO,
LF,meth:laserfluorinationanalysis,Laser fluorination mass spectrometry,LF,LF
Liquid chromatography analysis,meth:liquidchromatographyanalysis,Liquid chromatography analysis,LIC,
Liquid chromatography mass spectrometry,meth:liquidchromatographymassspectrometry,Liquid chromatography mass spectrometry,LC-MS,
Liquid chromatography organic carbon detection,meth:liquidchromatographyorganiccarbondetection,Liquid chromatography organic carbon detection,LC-OCD,
Liquid inlet inductively coupled plasma mass spectrometry,meth:liquidinletinductivelycoupledplasmamassspectrometry,Liquid inlet inductively coupled plasma mass spectrometry,SNICPMS,
LIQUID ION CHROMATOGRAPHY,meth:ionchromatographyanalysis,Ion chromatography analysis,IC,
LIQUID-WATER ISOTOPE ANALYSIS,meth:laserabsorptionspectrometry,Laser absorption spectrometry,LWI,
LIQUID-WATER ISOTOPE ANALYZER,meth:laserabsorptionspectrometry,Laser absorption spectrometry,LWI,
Lock in thermography,meth:lockinthermography,Lock in thermography,,
Loss on ignition analysis,meth:lossonignitionanalysis,Loss on ignition analysis ,,
Loss on ignition analysis ,meth:lossonignitionanalysis,Loss on ignition analysis ,,
Magnetic field measurement ,meth:magneticfieldmeasurement,Magnetic field measurement ,,
Manometry,meth:manometry,Manometry,MANO,MANO
Mass spectrometry,meth:massspectrometry,Mass spectrometry,MS,MS
MASS SPECTROMETRY ISOTOPE DILUTION,meth:massspectrometry,Mass spectrometry,MS,MS-ID
Massive parallel sequencing,meth:nextgenerationsequencing,Next generation sequencing,NGS,
Massively parallel sequencing,meth:nextgenerationsequencing,Next generation sequencing,NGS,
Micro X-ray fluorescence,meth:microxrayfluorescencespectroscopy,Micro X-ray fluorescence spectrometry,microXRF,
Micro X-ray fluorescence spectrometry,meth:microxrayfluorescencespectroscopy,Micro X-ray fluorescence spectrometry,microXRF,
Micro X-ray fluorescence spectroscopy,meth:microxrayfluorescencespectroscopy,Micro X-ray fluorescence spectrometry,microXRF,
MICROABSORPTION,meth:atomicabsorptionspectrometry,Atomic absorption spectrometry,AAS,
MICROABSORPTION ANALYSIS,meth:atomicabsorptionspectrometry,Atomic absorption spectrometry,AAS,
MICROMASS MULTIPREP MASS SPECTROMETER,meth:micromassmultiprepmassspectrometry,Micromass multiprep mass spectrometry,MMMS,
Micromass multiprep mass spectrometry,meth:micromassmultiprepmassspectrometry,Micromass multiprep mass spectrometry,MMMS,
Microprobe two step laser mass spectrometry,meth:microprobetwosteplasermassspectrometry,Microprobe two step laser mass spectrometry,microL2MS,
microprobe two-step laser mass spectrometer,meth:microprobetwosteplasermassspectrometry,Microprobe two step laser mass spectrometry,microL2MS,Î¼L2MS
MICROSCOPE VACUUM HEATING STAGE,wrkf:microscopevacuumheating,,,
MICROSCOPE VACUUM HEATING STAGE,wrkf:microscopevacuumheating,,,
MICROSCOPE VACUUM HEATING STAGE ANALYSIS,wrkf:microscopevacuumheating,,,
Microscopic X-ray imaging,meth:microscopicxrayimaging,Microscopic X-ray imaging,XRM,
Microscopy,meth:microscopy,Microscopy,,
MICROWAVE PLASMA EMISSION SPECTROMETRY,meth:plasmaemissionspectrometry,Plasma emission spectrometry,PES,
Mini cryogen free measurement system for thermal conductivity,meth:minicryogenfreemeasurementsystemforthermalconductivity,Mini cryogen free measurement system for thermal conductivity,MCFMS,
Moisture analysis,meth:moistureanalysis,Moisture analysis,SMA,
Mossbauer spectrometry,meth:mossbauerspectroscopy,Mossbauer spectrometry,MBS,
Mossbauer spectroscopy,meth:mossbauerspectroscopy,Mossbauer spectrometry,MBS,MOSS
Mössbauer SPECTROSCOPY,meth:mossbauerspectroscopy,Mossbauer spectrometry,MBS,
Multi collector inductively coupled plasma mass spectrometry,meth:multicollectorinductivelycoupledplasmamassspectrometry,Multi collector inductively coupled plasma mass spectrometry,MC-ICP-MS,
MULTI-COLLECTOR INDUCTIVELY COUPLED PLASMA MAGNETIC SECTOR MASS SPECTROMETRY,meth:multicollectorinductivelycoupledplasmamassspectrometry,Multi collector inductively coupled plasma mass spectrometry,MC-ICP-MS,
MULTICOLLECTOR INDUCTIVELY COUPLED PLASMA MASS SPECTROMETRY,meth:multicollectorinductivelycoupledplasmamassspectrometry,Multi collector inductively coupled plasma mass spectrometry,MC-ICP-MS,MC-ICP-MS
MULTICOLLECTOR INDUCTIVELY COUPLED PLASMA MASS SPECTROMETRY-ISOTOPE DILUTION,meth:multicollectorinductivelycoupledplasmamassspectrometry,Multi collector inductively coupled plasma mass spectrometry,MC-ICP-MS,MC-ICPMS-ID
MULTI-COLLECTOR SECONDARY IONIZATION MASS SPECTROMETRY,meth:secondaryionizationmassspectrometry,Secondary ionization mass spectrometry,SIMS,
MULTI-COLLECTOR THERMAL-IONIZATION MASS SPECTROMETRY,meth:thermalionizationmassspectrometry,Thermal ionization mass spectrometry,TIMS,
MULTI-ION COUNTING SPARK-SOURCE MASS SPECTROMETRY,meth:sparksourcemassspectrometry,Spark source mass spectrometry,SSMS,
NANO SECONDARY ION MASS SPECTROMETRY,meth:secondaryionizationmassspectrometry,Secondary ionization mass spectrometry,SIMS,NANO-SIMS
NANO SECONDARY IONIZATION MASS SPECTROMETRY,meth:secondaryionizationmassspectrometry,Secondary ionization mass spectrometry,SIMS,
Nanoindentation and microindentation,meth:nanoindentationandmicroindentation,Nanoindentation and microindentation,NI-MI,
Nanoscale infrared spectrometry,meth:nanoscaleinfraredspectrometry,Nanoscale infrared spectrometry,nanoIR,
NEAR-INFRARED SPECTROMETRY,meth:infraredspectrometry,Infrared spectrometry,IR,
Negative ion thermal ionization mass spectrometry,meth:negativeionthermalionizationmassspectrometry,Negative ion thermal ionization mass spectrometry,NTIMS,
NEGATIVE ION THERMAL-IONIZATION MASS SPECTROMETRY,meth:negativeionthermalionizationmassspectrometry,Negative ion thermal ionization mass spectrometry,NTIMS,
NEGATIVE THERMAL IONIZATION MASS SPECTROMETRY,meth:negativeionthermalionizationmassspectrometry,Negative ion thermal ionization mass spectrometry,NTIMS,NTIMS
NEGATIVE THERMAL IONIZATION MASS SPECTROMETRY ISOTOPE DILUTION,meth:negativeionthermalionizationmassspectrometry,Negative ion thermal ionization mass spectrometry,NTIMS,NTIMS-ID
NEGATIVE THERMAL-IONIZATION MASS SPECTROMETRY,meth:negativeionthermalionizationmassspectrometry,Negative ion thermal ionization mass spectrometry,NTIMS,
NEGATIVE THERMAL-IONIZATION MASS SPECTROMETRY ISOTOPE DILUTION,meth:negativeionthermalionizationmassspectrometry,Negative ion thermal ionization mass spectrometry,NTIMS,
Neutron activation analysis,meth:neutronactivationanalysis,Neutron activation analysis,NAA,NAA
NEUTRON COINCIDENCE COUNTING,meth:neutroncounting,Neutron counting,NCC,NCC
Neutron counting,meth:neutroncounting,Neutron counting,NCC,
Neutron irradiation noble gas mass spectrometry,meth:neutronirradiationnoblegasmassspectrometry,Neutron irradiation noble gas mass spectrometry,NINGMS,
Neutron-induced prompt gamma-ray analysis,meth:promptgammaneutronactivationanalysis,Prompt gamma neutron activation analysis,PGNAA,
neutron-irradiation noble gas mass spectrometry,meth:neutronirradiationnoblegasmassspectrometry,Neutron irradiation noble gas mass spectrometry,NINGMS,NI-NGMS
Next generation sequencing,meth:nextgenerationsequencing,Next generation sequencing,NGS,
NICKEL SULFIDE FIRE ASSAY ISOTOPE DILUTION,meth:fireassayemissionspectrometry,Fire assay emission spectrometry,xFEMS,NSFA-ID
NICKEL SULFIDE FIRE ASSAY ISOTOPE DILUTION ANALYSIS,meth:fireassayemissionspectrometry,Fire assay emission spectrometry,xFEMS,
NICKEL SULFIDE FIRE ASSAY ISOTOPE DILUTION ANALYSIS,meth:fireassayemissionspectrometry,Fire assay emission spectrometry,xFEMS,
Noble gas and nitrogen static mass spectrometry,meth:noblegasmassspectrometry,Noble gas mass spectrometry,NGMS,
Noble gas mass spectrometry,meth:noblegasmassspectrometry,Noble gas mass spectrometry,NGMS,NGMS
NOBLE-GAS METHOD,meth:neutronirradiationnoblegasmassspectrometry,Neutron irradiation noble gas mass spectrometry,NINGMS,
Nuclear magnetic resonance,meth:nuclearmagneticresonancespectrometry,Nuclear magnetic resonance spectrometry,NMR,
Nuclear magnetic resonance spectrometry,meth:nuclearmagneticresonancespectrometry,Nuclear magnetic resonance spectrometry,NMR,
Nuclear magnetic resonance spectroscopy,meth:nuclearmagneticresonancespectrometry,Nuclear magnetic resonance spectrometry,NMR,
NUCLEAR MICROPROBE,meth:nuclearmicroprobeanalysis,Nuclear microprobe analysis,NMP,
Nuclear microprobe analysis,meth:nuclearmicroprobeanalysis,Nuclear microprobe analysis,NMP,
Nuclear particle track counting,meth:nuclearparticletrackcounting,Nuclear particle track counting,NPTC,NUCLEAR PARTICLE TRACK COUNTING
NUCLEAR REACTION ANALYSIS,meth:nuclearreactionspectrometry,Nuclear reaction spectrometry,NRA,NRA
Nuclear reaction spectrometry,meth:nuclearreactionspectrometry,Nuclear reaction spectrometry,NRA,
Off-Axis Integrated Cavity Output Spectroscopy (OA-ICOS),meth:laserabsorptionspectrometry,Laser absorption spectrometry,LWI,
OPTICAL EMISSION SPECTROMETRY,meth:opticalemissionspectrometry,Optical emission spectrometry,OES,OES
OPTICAL EMISSION SPECTROSCOPY,meth:opticalemissionspectrometry,Optical emission spectrometry,OES,
Optical spectrometry,meth:opticalspectrometry,Optical spectrometry,OSPEC,
OPTICAL SPECTROSCOPY,meth:opticalspectrometry,Optical spectrometry,OSPEC,OPS
Orbitrap mass spectrometry,meth:orbitrapmassspectrometry,Orbitrap mass spectrometry,,
Other,meth:analyticalmethod,Analytical method,,
Particle beam excitation,meth:particlebeamexcitation,Particle beam excitation,xPBE,
Particle cohesion determination,meth:particlecohesiondetermination,Particle cohesion determination,PCD-AFM,
Particle counting,meth:particlecounting,Particle counting,xPC,
Particle induced activation analysis,meth:particleinducedactivationanalysis,Activation analysis,PIGE,
PARTICLE INDUCED X-RAY EMISSION MICROPROBE,meth:quantitativeanalysisparticleinducedxrayspectrometry,Quantitative analysis particle induced X-ray spectrometry,PIXEA,
PARTICLE INDUCED X-RAY EMISSION MICROPROBE ANALYSIS,meth:quantitativeanalysisparticleinducedxrayspectrometry,Quantitative analysis particle induced X-ray spectrometry,PIXEA,
Particle induced X-ray spectrometry,meth:particleinducedxrayspectrometry,Particle induced X-ray spectrometry,PIXE,
Particle size distribution analysis,meth:particlesizedistributionanalysis,Particle size distribution analysis,PSFD,
Particle spectrometry,meth:particlespectrometry,Particle spectrometry,xPASP,
PARTICULE INDUCED GAMMA-RAY EMISSION,meth:particleinducedactivationanalysis,Activation analysis,PIGE,
PARTICULE INDUCED GAMMA-RAY EMISSION ANALYSIS,meth:particleinducedactivationanalysis,Activation analysis,PIGE,
PENFIELD METHOD,meth:penfieldmethodanalysis,Penfield method analysis,PEN,PEN
Penfield method analysis,meth:penfieldmethodanalysis,Penfield method analysis,PEN,
pH measurement,meth:phmeasurement,pH measurement,,
Photometry,meth:photometry,Photometry,PHOT,
Photon activation analysis,meth:photonactivationanalysis,Photon activation analysis,PAA,
Photon spectrometry,meth:photonspectrometry,Photon spectrometry,xPHSP,
Physical property measurement,meth:physicalpropertymeasurement,Physical property measurement,,
Plasma emission spectrometry,meth:plasmaemissionspectrometry,Plasma emission spectrometry,PES,
PLASMA IONISATION MULTI-COLLECTOR MASS SPECTROMETRY,meth:multicollectorinductivelycoupledplasmamassspectrometry,Multi collector inductively coupled plasma mass spectrometry,MC-ICP-MS,
Plasma optical emission spectrometry,meth:plasmaopticalemissionspectrometry,Plasma optical emission spectrometry,POES,
PLASMA OPTICAL EMISSION SPECTROSCOPY,meth:plasmaopticalemissionspectrometry,Plasma optical emission spectrometry,POES,
Plasma optical spectrometry,meth:plasmaopticalspectrometry,Plasma optical spectrometry,xPOS,
Plasma source mass spectrometry,meth:plasmasourcemassspectrometry,Plasma source mass spectrometry,PSMS,
PLASMA-SOURCE MASS SPECTROMETRY,meth:plasmasourcemassspectrometry,Plasma source mass spectrometry,PSMS,
Point counting,meth:pointcounting,Point counting,PC,PC
Polarography,meth:polarography,Polarography,POL,
Porosimetry,meth:porosimetry,Porosimetry,,
Positive ion thermal ionization mass spectrometry,meth:positiveionthermalionizationmassspectrometry,Positive ion thermal ionization mass spectrometry,PTIMS,
POSITIVE ION THERMAL-IONIZATION MASS SPECTROMETRY,meth:positiveionthermalionizationmassspectrometry,Positive ion thermal ionization mass spectrometry,PTIMS,
Potentiometry,meth:potentiometry,Potentiometry,POT,POT
Powder X-ray diffraction,meth:xraypowderdiffraction,X-ray powder diffraction,XRPD,
Power compensation DSC,meth:differentialscanningcalorimetry,Differential scanning calorimetry,DSC,
Pre irradiation group concentration neutron activation analysis,meth:pigsneutronactivationanalysis,Pre irradiation group concentration neutron activation analysis ,,
Pre irradiation group concentration neutron activation analysis ,meth:pigsneutronactivationanalysis,Pre irradiation group concentration neutron activation analysis ,,
PRE-IRRADIATION GROUP CONCENTRATION ANALYSIS,meth:pigsneutronactivationanalysis,Pre irradiation group concentration neutron activation analysis ,,
PRE-IRRADIATION GROUP CONCENTRATION METHOD,meth:pigsneutronactivationanalysis,Pre irradiation group concentration neutron activation analysis ,,
Prompt gamma neutron activation analysis,meth:promptgammaneutronactivationanalysis,Prompt gamma neutron activation analysis,PGNAA,
PROMPT-GAMMA NEUTRON ACTIVATION ANALYSIS,meth:promptgammaneutronactivationanalysis,Prompt gamma neutron activation analysis,PGNAA,PGNAA
Proton Induced X-ray Emission,meth:particleinducedxrayspectrometry,Particle induced X-ray spectrometry,PIXE,PIXE
PROTON MICROPROBE,meth:nuclearmicroprobeanalysis,Nuclear microprobe analysis,NMP,PMP
PROTON MICROPROBE ANALYSIS,meth:nuclearmicroprobeanalysis,Nuclear microprobe analysis,NMP,
PT,meth:analyticalmethod,Analytical method,PT,PT
PYROHYDROLYSIS,wrkf:pyrohydrolysis,,,PYRO
PYROHYDROLYSIS COMBINED WITH ION CHROMATOGRAPHY,meth:ionchromatographyanalysis,Ion chromatography analysis,IC,
Pyrolysis gas chromatography,meth:pyrolysisgaschromatography,Pyrolysis gas chromatography,Py-GC,
Pyrolysis gas chromatography flame ionization detection,meth:pyrolysisgaschromatographyflameionizationdetection,Pyrolysis gas chromatography flame ionization detection,Py-GC-FID,
Pyrolysis gas chromatography mass spectrometry,meth:pyrolysisgaschromatographymassspectrometry,Pyrolysis gas chromatography mass spectrometry,Py-GC-MS,
Pyrolysis mass spectrometry,meth:pyrolysisgaschromatographymassspectrometry,Pyrolysis gas chromatography mass spectrometry,Py-GC-MS,
QUADRUPOLE INDUCTIVELY COUPLED PLASMA MASS SPECTROMETRY,meth:inductivelycoupledplasmamassspectrometry,Inductively coupled plasma mass spectrometry,ICPMS,
QUADRUPOLE INDUCTIVELY COUPLED PLASMA MASS SPECTROMETRY,meth:quadrupoleinductivelycoupledplasmmassspectrometry,Quadrupole inductively coupled plasma mass spectrometry,Q-ICP-MS,
Quantitative analysis electron induced X-ray spectrometry,meth:quantitativeanalysiselectroninducedxrayspectrometry,Quantitative analysis electron induced X-ray spectrometry,EMPA,
Quantitative analysis particle induced X-ray spectrometry,meth:quantitativeanalysisparticleinducedxrayspectrometry,Quantitative analysis particle induced X-ray spectrometry,PIXEA,
Quantitative PCR,meth:quantitativepolymerasechainreaction,Quantitative polymerase chain reaction,qPCR,
Quantitative polymerase chain reaction,meth:quantitativepolymerasechainreaction,Quantitative polymerase chain reaction,qPCR,
Quantitative reflectance imaging,meth:quantitativereflectanceimagingsystem,Quantitative reflectance imaging,QRIS,
Quantitative reflectance imaging system,meth:quantitativereflectanceimagingsystem,Quantitative reflectance imaging,QRIS,
RADIOANALYTICAL NEUTRON ACTIVATION,meth:radiochemicalneutronactivationanalysis,Radiochemical neutron activation analysis,RNAA,RNAA
Radiochemical neutron activation analysis,meth:radiochemicalneutronactivationanalysis,Radiochemical neutron activation analysis,RNAA,
RADON METHOD,meth:particlecounting,Particle counting,xPC,
RADON METHOD can we clarify more???,meth:particlecounting,Particle counting,xPC,
Raman,meth:ramanspectrometry,Raman spectrometry,RAMAN,
Raman spectrometry,meth:ramanspectrometry,Raman spectrometry,RAMAN,
Raman Spectroscopy,meth:ramanspectrometry,Raman spectrometry,RAMAN,
Raman vibrational spectroscopy,meth:ramanspectrometry,Raman spectrometry,RAMAN,
RAPID ROCK ANALYSIS,meth:analyticalmethod,Analytical method,,RR
Rare-gas mass spectrometry,meth:noblegasmassspectrometry,Noble gas mass spectrometry,NGMS,
Redox potential measurement,meth:redoxpotentialmeasurement,Redox potential measurement,,
resonance ionisation mass spectrometer,meth:laserionizationmassspectrometry,Laser ionization mass spectrometry,LIMS,RIMS
Resonance ionization time of flight noble gas mass spectrometry,meth:resonanceionizationtimeofflightnoblegasmassspectrometry,Resonance ionization time of flight noble gas mass spectrometry,RI-TOF-NGMS,
RESONANCE-IONIZATION MASS SPECTROMETRY,meth:laserionizationmassspectrometry,Laser ionization mass spectrometry,LIMS,
RN-EMANATION,meth:particlecounting,Particle counting,xPC,
RN-EMANATION ANALYSIS,meth:particlecounting,Particle counting,xPC,
Sanger sequencing,meth:sangersequencing,Sanger sequencing,,
SCANNING ELECTRON MICROSCOPE,meth:electronmicroscopyimaging,Electron microscopy imaging,SEM,SEM
SCANNING ELECTRON MICROSCOPE-ENERGY DISPERSIVE XRAY ANALYSIS,meth:energydispersiveelectroninducedxrayspectrometry,Energy dispersive electron induced X-ray spectrometry,EEDS,
SCANNING ELECTRON MICROSCOPE-ENERGY DISPERSIVE XRAYS,meth:energydispersiveelectroninducedxrayspectrometry,Energy dispersive electron induced X-ray spectrometry,EEDS,SEM-EDS
SCANNING ELECTRON MICROSCOPY,meth:electronmicroscopyimaging,Electron microscopy imaging,SEM,
Scanning Proton Microprobe,meth:nuclearmicroprobeanalysis,Nuclear microprobe analysis,NMP,
scanning proton microscopy (SPM),meth:nuclearmicroprobeanalysis,Nuclear microprobe analysis,NMP,
Scanning transmission electron imaging,meth:scanningtransmissionelectronimaging,Scanning transmission electron imaging,STEM,
Scanning transmission electron microscopy,meth:scanningtransmissionelectronimaging,Scanning transmission electron imaging,STEM,
SCANNING TRANSMISSION ELECTRON MICROSCOPY ENERGY DISPERSIVE XRAY SPECTROMETER,meth:energydispersiveelectroninducedxrayspectrometry,Energy dispersive electron induced X-ray spectrometry,EEDS,STEM-EDX
SCANNING TRANSMISSION ELECTRON MICROSCOPY ENERGY DISPERSIVE XRAY SPECTROMETRY,meth:energydispersiveelectroninducedxrayspectrometry,Energy dispersive electron induced X-ray spectrometry,EEDS,
Second generation sequencing,meth:nextgenerationsequencing,Next generation sequencing,NGS,
Secondary electron imaging,meth:secondaryelectronimaging,Secondary electron imaging,SE,
Secondary electron microscopy,meth:secondaryelectronimaging,Secondary electron imaging,SE,
SECONDARY ION MASS SPECTROMETRY,meth:secondaryionizationmassspectrometry,Secondary ionization mass spectrometry,SIMS,SIMS
Secondary ionization mass spectrometry,meth:secondaryionizationmassspectrometry,Secondary ionization mass spectrometry,SIMS,
Secondary neutral mass spectrometry,meth:secondaryneutralmassspectrometry,Secondary neutral mass spectrometry,SNMS,
Sector field inductively coupled plasma mass spectrometry,meth:sectorfieldicpms,Sector field inductively coupled plasma mass spectrometry,ICP-SFMS,SF-ICPMS
SECTOR FIELD INDUCTIVELY-COUPLED PLASMA MASS SPECTROMETRY,meth:inductivelycoupledplasmamassspectrometry,Inductively coupled plasma mass spectrometry,ICPMS,
