s	l	sources
meth:plasmasourcemassspectrometry	Plasma source mass spectrometry	https://w3id.org/geochem/1.0/agent/georoc
meth:pointcounting	Point counting	https://en.wikipedia.org/wiki/Point_counting_(geology) | https://w3id.org/geochem/1.0/agent/petdb | https://w3id.org/geochem/1.0/agent/astromat
meth:polarography	Polarography	https://unacademy.com/content/nta-ugc/study-material/pharmaceutical-analysis/polarography/ | https://w3id.org/geochem/1.0/agent/georoc | https://w3id.org/geochem/1.0/analyticalmethod/skooghollercrouch | https://en.wikipedia.org/wiki/Polarography
meth:porosimetry	Porosimetry	https://en.wikipedia.org/wiki/Porosimetry | https://w3id.org/geochem/1.0/analyticalmethod/smraddinstmethodsgeox
meth:positiveionthermalionizationmassspectrometry	Positive ion thermal ionization mass spectrometry	https://w3id.org/geochem/1.0/agent/georoc
meth:potentiometry	Potentiometry	https://doi.org/10.1515/pac-2018-0109 | https://w3id.org/geochem/1.0/agent/petdb | https://w3id.org/geochem/1.0/agent/astromat | https://w3id.org/geochem/1.0/agent/georoc | https://w3id.org/geochem/1.0/agent/geox
meth:pigsneutronactivationanalysis	Pre irradiation group concentration neutron activation analysis	https://doi.org/10.1016/0009-2541(90)90036-7 | https://w3id.org/geochem/1.0/agent/georoc | https://doi.org/10.1002/gj.907 | https://doi.org/10.1007/BF02055022
meth:promptgammaneutronactivationanalysis	Prompt gamma neutron activation analysis	https://w3id.org/geochem/1.0/agent/petdb | https://w3id.org/geochem/1.0/analyticalmethod/skooghollercrouch | https://w3id.org/geochem/1.0/agent/georoc | https://w3id.org/geochem/1.0/agent/astromat
meth:pyrolysisgaschromatography	Pyrolysis gas chromatography	"https://doi.org/10.1515/pac-2017-0111 | L. S. Ettre. Pure Appl. Chem.65, 819, (1993); https://doi.org/10.1351/pac1993650408191.5.02. 1.6.11.1"
meth:pyrolysisgaschromatographyflameionizationdetection	Pyrolysis gas chromatography flame ionization detection	https://doi.org/10.1515/pac-2017-0111 | https://w3id.org/geochem/1.0/agent/geox
meth:pyrolysisgaschromatographymassspectrometry	Pyrolysis gas chromatography mass spectrometry	https://w3id.org/geochem/1.0/agent/geox | https://doi.org/10.1351/PAC-REC-06-04-06
meth:quadrupoleinductivelycoupledplasmmassspectrometry	Quadrupole inductively coupled plasma mass spectrometry	https://w3id.org/geochem/1.0/agent/orex
meth:quantitativeanalysiselectroninducedxrayspectrometry	Quantitative analysis electron induced X-ray spectrometry	https://serc.carleton.edu/research_education/geochemsheets/wds.html | https://w3id.org/geochem/1.0/agent/petdb | https://w3id.org/geochem/1.0/agent/georoc | https://w3id.org/geochem/1.0/agent/astromat
meth:quantitativeanalysisparticleinducedxrayspectrometry	Quantitative analysis particle induced X-ray spectrometry	https://serc.carleton.edu/research_education/geochemsheets/wds.html) | https://w3id.org/geochem/1.0/agent/georoc
meth:quantitativepolymerasechainreaction	Quantitative polymerase chain reaction	https://w3id.org/geochem/1.0/agent/geox | https://doi.org/10.1515/iupac.90.0262 | https://www.thermofisher.com/blog/ask-a-scientist/what-is-qpcr/
meth:quantitativereflectanceimagingsystem	Quantitative reflectance imaging	https://w3id.org/geochem/1.0/agent/orex
meth:radiochemicalneutronactivationanalysis	Radiochemical neutron activation analysis	https://doi.org/10.1515/pac-2019-0302 | https://w3id.org/geochem/1.0/agent/georoc | https://w3id.org/geochem/1.0/agent/petdb | https://w3id.org/geochem/1.0/agent/astromat | https://www.nist.gov/laboratories/tools-instruments/radiochemical-neutron-activation-analysis-rnaa
meth:ramanspectrometry	Raman spectrometry	https://iupac.org/wp-content/uploads/2019/10/PAC-REC-19-02-03.R2_PR191002MC.pdf | DFG | https://w3id.org/geochem/1.0/agent/georoc | https://w3id.org/geochem/1.0/agent/orex | https://w3id.org/geochem/1.0/agent/geox
meth:redoxpotentialmeasurement	Redox potential measurement	DFG | https://w3id.org/geochem/1.0/agent/geox
meth:resonanceionizationmassspectrometry	Resonance ionization mass spectrometry	https://www.osti.gov/servlets/purl/1763939 | https://w3id.org/geochem/1.0/agent/petdb
meth:resonanceionizationtimeofflightnoblegasmassspectrometry	Resonance ionization time of flight noble gas mass spectrometry	https://w3id.org/geochem/1.0/agent/orex
meth:sangersequencing	Sanger sequencing	https://doi.org/10.1515/iupac.90.0262 | https://w3id.org/geochem/1.0/agent/geox
meth:scanningtransmissionelectronimaging	Scanning transmission electron imaging	https://en.wikipedia.org/wiki/Transmission_electron_microscopy | https://w3id.org/geochem/1.0/agent/orex
meth:secondaryelectronimaging	Secondary electron imaging	https://www.thermofisher.com/blog/materials/sem-signal-types-electrons-and-the-information-they-provide/ | https://w3id.org/geochem/1.0/agent/orex
meth:secondaryionizationmassspectrometry	Secondary ionization mass spectrometry	https://doi.org/10.1351/PAC-REC-06-04-06 | https://w3id.org/geochem/1.0/agent/geox | https://w3id.org/geochem/1.0/agent/georoc | https://w3id.org/geochem/1.0/analyticalmethod/skooghollercrouch | https://w3id.org/geochem/1.0/agent/petdb | https://w3id.org/geochem/1.0/agent/astromat | https://w3id.org/geochem/1.0/agent/orex
meth:secondaryneutralmassspectrometry	Secondary neutral mass spectrometry	https://w3id.org/geochem/1.0/agent/orex | https://www.spectroscopyeurope.com/system/files/pdf/SNMS_21_4.pdf | https://doi.org/10.1002/sia.4857
meth:sectorfieldicpms	Sector field inductively coupled plasma mass spectrometry	https://chemistry.olemiss.edu/icp-sfms/ | https://pubs.rsc.org/en/content/articlelanding/2004/ja/b403128h | https://w3id.org/geochem/1.0/agent/metbase
meth:seismicvelocitiesandrockultrasonicelasticconstants	Seismic velocity and ultrasonic elastic constant measurement	https://w3id.org/geochem/1.0/agent/orex
meth:shrimp	Sensitive high-mass-resolution ion microprobe	https://w3id.org/geochem/1.0/agent/georoc | https://w3id.org/geochem/1.0/agent/astromat | https://w3id.org/geochem/1.0/agent/orex | https://w3id.org/geochem/1.0/agent/petdb | https://w3id.org/geochem/1.0/agent/geox
meth:shotgunmethod	Shotgun method	https://w3id.org/geochem/1.0/agent/geox | https://doi.org/10.1515/iupac.90.0262
meth:singlecrystalxraydiffraction	Single crystal X-ray diffraction	https://serc.carleton.edu/research_education/geochemsheets/techniques/SXD.html | https://w3id.org/geochem/1.0/agent/geox | DFG
meth:solidsourcemassspectrometry	Solid source mass spectrometry	https://w3id.org/geochem/1.0/agent/georoc
meth:solidstatenuclearmagneticresonancespectroscopy	Solid state nuclear magnetic resonance spectroscopy	https://w3id.org/geochem/1.0/agent/orex | https://doi.org/10.1038/s43586-020-00002-1 | https://en.wikipedia.org/wiki/Solid-state_nuclear_magnetic_resonance
meth:sparksourcemassspectrometry	Spark source mass spectrometry	https://w3id.org/geochem/1.0/analyticalmethod/skooghollercrouch | https://w3id.org/geochem/1.0/agent/georoc | https://w3id.org/geochem/1.0/agent/petdb | https://w3id.org/geochem/1.0/agent/astromat
meth:spectrometry	Spectrometry	https://w3id.org/geochem/1.0/agent/astromat | https://www.merriam-webster.com/dictionary/spectrometry | https://w3id.org/geochem/1.0/agent/petdb
meth:spectrophotometry	Spectrophotometry	https://w3id.org/geochem/1.0/analyticalmethod/nasagcmd | https://w3id.org/geochem/1.0/agent/geox
meth:sphericalcellbulkthermalconductivityanalysis	Spherical cell bulk thermal conductivity analysis	https://w3id.org/geochem/1.0/agent/orex
meth:steppedheatingcarbonandnitrogenisotopicanalysis	Stepped heating carbon and nitrogen isotopic analysis	https://doi.org/10.1016/S0012-821X(02)00592-7 | https://w3id.org/geochem/1.0/agent/orex
meth:structuredlightscanning	Structured light scanning	https://w3id.org/geochem/1.0/agent/orex
meth:surfaceanalysis	Surface analysis	https://w3id.org/geochem/1.0/analyticalmethod/smraddgencategory
meth:synchrotonxrayfluorescencespectrometry	Synchroton X-ray fluorescence spectrometry	https://w3id.org/geochem/1.0/agent/orex | https://w3id.org/geochem/1.0/agent/georoc | https://link.springer.com/chapter/10.1007/978-981-16-5328-5_6
meth:synchrotronxrayfluorescencetomography	Synchrotron X-ray fluorescence tomography	https://w3id.org/geochem/1.0/agent/orex
meth:temperatureprogrammeddesorptionelectronprobeanalysis	Temperature programmed desorption electron probe analysis	https://w3id.org/geochem/1.0/agent/georoc | https://www.hidenanalytical.com/blog/what-temperature-programmed-desorption-tpd/
meth:tensiometry	Tensiometry	https://w3id.org/geochem/1.0/analyticalmethod/smraddinstmethodsgeox
meth:thermalanalysis	Thermal analysis	https://w3id.org/geochem/1.0/analyticalmethod/smraddgencategory
meth:thermalionizationmassspectrometry	Thermal ionization mass spectrometry	https://w3id.org/geochem/1.0/agent/astromat | https://w3id.org/geochem/1.0/agent/petdb | https://w3id.org/geochem/1.0/agent/georoc | https://w3id.org/geochem/1.0/agent/orex
meth:thermalneutronactivationanalysis	Thermal neutron activation analysis	https://doi.org/10.1081/ASR-120004372
meth:thermogravimetryanalysis	Thermogravimetry analysis	https://w3id.org/geochem/1.0/agent/georoc | https://w3id.org/geochem/1.0/agent/orex
meth:thermoluminescenceanalysis	Thermoluminescence analysis	"P.H. Benoit, ,K. Ninagawa, and D.W.G. Sears, 2000, Thermoluminescence sensitivity and thermal history of unequilibrated ordinary chondrites: Review and update: Lunar and Planetary Science XXXI, 1394.pdf; https://dsears.hosted.uark.edu//publications/pub%20by%20year/2000%20papers/benoit%20et%20al%202000c.pdf | Hasan, F. A., Score, R. and Sears, D. W. G. (1989) : The natural thermoluminescence survey of  Antarctic meteorites. A discussion of methods for reporting natural TL data. Lunar and  Planetary XX. Houston, Lunar Planet. Inst., 383-384;  https://articles.adsabs.harvard.edu/cgi-bin/nph-iarticle_query?bibcode=1989LPI....20..383H&db_key=AST | https://w3id.org/geochem/1.0/agent/metbase"
meth:thermoluminescencedating	Thermoluminescence dating	https://en.wikipedia.org/wiki/Thermoluminescence_dating | https://w3id.org/geochem/1.0/agent/metbase | https://w3id.org/geochem/1.0/agent/astromat
meth:titration	Titration	https://w3id.org/geochem/1.0/agent/astromat | https://en.wikipedia.org/wiki/Titration | https://w3id.org/geochem/1.0/agent/georoc | https://w3id.org/geochem/1.0/agent/petdb
meth:totalreflectionxrayfluorescencespectrometry	Total reflection X-ray fluorescence spectrometry	https://www-pub.iaea.org/MTCD/publications/PDF/TCS-51/html/pdf/Section%201.pdf | https://w3id.org/geochem/1.0/agent/georoc
meth:trackcounting	Track counting	https://w3id.org/geochem/1.0/analyticalmethod/smraddgencategory
meth:transmissionelectronimaging	Transmission electron imaging	https://w3id.org/geochem/1.0/agent/orex | https://en.wikipedia.org/wiki/Transmission_electron_microscopy | https://w3id.org/geochem/1.0/agent/georoc
meth:transmissionspectrometry	Transmission spectrometry	https://w3id.org/geochem/1.0/analyticalmethod/smraddgencategory
meth:transmittedelectrondiffraction	Transmitted electron diffraction	https://en.wikipedia.org/wiki/Electron_diffraction#In_a_transmission_electron_microscope | https://w3id.org/geochem/1.0/agent/orex
meth:ultravioletemissionspectrometry	Ultraviolet emission spectrometry	https://w3id.org/geochem/1.0/agent/petdb
meth:visiblelightmicroscopy	Visible light microscopy	https://w3id.org/geochem/1.0/agent/orex
meth:visiblenearinfraredandmidinfraredimaging	"Visible, near-infrared, and mid-infrared imaging"	https://w3id.org/geochem/1.0/agent/orex
meth:voltammetry	Voltammetry	https://w3id.org/geochem/1.0/analyticalmethod/skooghollercrouch | https://w3id.org/geochem/1.0/agent/georoc | https://w3id.org/geochem/1.0/agent/petdb
meth:wavelengthdispersiveelectroninducedxrayspectrometry	Wavelength dispersive electron induced X-ray Spectrometry	https://serc.carleton.edu/research_education/geochemsheets/wds.html
meth:wavelengthmodulationspectrometry	Wavelength-modulation spectrometry	https://goldensteingroup.com/our-research/wavelength-modulation-spectroscopy/
meth:wetchemistry	Wet chemistry	https://w3id.org/geochem/1.0/agent/petdb | https://en.wikipedia.org/wiki/Wet_chemistry | https://w3id.org/geochem/1.0/agent/astromat | https://w3id.org/geochem/1.0/agent/georoc
meth:xrayabsorptionnearedgestructurespectrometry	X-ray absorption near edge structure spectrometry	https://w3id.org/geochem/1.0/agent/petdb | https://w3id.org/geochem/1.0/agent/astromat | https://w3id.org/geochem/1.0/agent/georoc | https://w3id.org/geochem/1.0/agent/orex | https://www.cei.washington.edu/education/science-of-solar/xray-absorption-near-edge-spectroscopy-xanes/
meth:xrayabsorptionspectrometry	X-ray absorption spectrometry	https://w3id.org/geochem/1.0/analyticalmethod/smraddgencategory | https://www.bnl.gov/nsls2/userguide/lectures/lecture-4-ravel.pdf | https://en.wikipedia.org/wiki/X-ray_absorption_spectroscopy
meth:xraymap	X-ray composition map	https://w3id.org/geochem/1.0/agent/orex
meth:xraycomputedtomography	X-ray computed tomography	https://w3id.org/geochem/1.0/agent/orex
meth:xraydiffraction	X-ray diffraction	https://doi.org/10.1515/pac-2019-0302 | https://serc.carleton.edu/research_education/geochemsheets/techniques/XRD.html | https://w3id.org/geochem/1.0/agent/georoc | https://w3id.org/geochem/1.0/agent/astromat | https://w3id.org/geochem/1.0/agent/orex | https://w3id.org/geochem/1.0/agent/geox
meth:xrayfluorescencespectrometry	X-ray fluorescence spectrometry	https://w3id.org/geochem/1.0/agent/orex | https://w3id.org/geochem/1.0/agent/geox | https://w3id.org/geochem/1.0/agent/georoc | https://w3id.org/geochem/1.0/agent/astromat | https://doi.org/10.1515/pac-2019-0302 | https://w3id.org/geochem/1.0/agent/petdb
meth:xrayimaging	X-ray imaging	https://w3id.org/geochem/1.0/agent/georoc | https://www.fieldmuseum.org/science/research/area/conserving-collections/examination-documentation/x-radiography
meth:xrayphotoelectronspectrometery	X-ray photoelectron spectrometery	https://w3id.org/geochem/1.0/agent/orex | https://en.wikipedia.org/wiki/X-ray_photoelectron_spectroscopy | https://w3id.org/geochem/1.0/agent/georoc | https://w3id.org/geochem/1.0/analyticalmethod/skooghollercrouch
meth:xrayphotoelectronspectroscopycompositionmap	X-ray photoelectron spectrometry composition mapping	https://w3id.org/geochem/1.0/analyticalmethod/skooghollercrouch
meth:xraypowderdiffraction	X-ray powder diffraction	https://serc.carleton.edu/research_education/geochemsheets/techniques/XRD.html | https://w3id.org/geochem/1.0/agent/geox
meth:xrayspectrometry	X-ray spectrometry	https://w3id.org/geochem/1.0/analyticalmethod/smraddgencategory
meth:phmeasurement	pH measurement	https://w3id.org/geochem/1.0/analyticalmethod/smraddinstmethodsgeox
