label	longid	s	uri	strunz
Plumbopharmacosiderite	1:1:51583:6	gcmin:plumbopharmacosiderite	<https://www.mindat.org/1:1:51583:6>	08.DK.10
Plumbophyllite	1:1:38703:9	gcmin:plumbophyllite	<https://www.mindat.org/1:1:38703:9>	09.EA.85
Plumboselite	1:1:40515:9	gcmin:plumboselite	<https://www.mindat.org/1:1:40515:9>	04.JG.50
Plumbotellurite	1:1:3227:4	gcmin:plumbotellurite	<https://www.mindat.org/1:1:3227:4>	04.JK.55
Plumbotsumite	1:1:3230:4	gcmin:plumbotsumite	<https://www.mindat.org/1:1:3230:4>	09.HH.20
Plumosite	1:1:4837:4	gcmin:plumosite	<https://www.mindat.org/1:1:4837:4>	02
Podlesnoite	1:1:30907:7	gcmin:podlesnoite	<https://www.mindat.org/1:1:30907:7>	05.BC.15
Poirierite	1:1:54351:0	gcmin:poirierite	<https://www.mindat.org/1:1:54351:0>	09.AC
Poitevinite	1:1:3249:6	gcmin:poitevinite	<https://www.mindat.org/1:1:3249:6>	07.CB.05
Pokrovskite	1:1:3250:2	gcmin:pokrovskite	<https://www.mindat.org/1:1:3250:2>	05.BA.10
Polarite	1:1:3251:9	gcmin:polarite	<https://www.mindat.org/1:1:3251:9>	02.AC.40
Poldervaartite	1:1:3252:6	gcmin:poldervaartite	<https://www.mindat.org/1:1:3252:6>	09.AF.90
Polezhaevaite-(Ce)	1:1:39550:6	gcmin:polezhaevaite-ce	<https://www.mindat.org/1:1:39550:6>	03.AB.35
Polhemusite	1:1:3253:3	gcmin:polhemusite	<https://www.mindat.org/1:1:3253:3>	02.CB.05c
Polkanovite	1:1:7240:9	gcmin:polkanovite	<https://www.mindat.org/1:1:7240:9>	02.AC.30
Polkovicite	1:1:3254:0	gcmin:polkovicite	<https://www.mindat.org/1:1:3254:0>	02.CB.35a
Pollucite	1:1:3255:7	gcmin:pollucite	<https://www.mindat.org/1:1:3255:7>	09.GB.05
Polyakovite-(Ce)	1:1:10397:8	gcmin:polyakovite-ce	<https://www.mindat.org/1:1:10397:8>	09.BE.70
Polybasite	1:1:3256:4	gcmin:polybasite	<https://www.mindat.org/1:1:3256:4>	02.GB.15
Polycrase-(Y)	1:1:3257:1	gcmin:polycrase-y	<https://www.mindat.org/1:1:3257:1>	04.DG.05
Polydymite	1:1:3258:8	gcmin:polydymite	<https://www.mindat.org/1:1:3258:8>	02.DA.05
Polyhalite	1:1:3259:5	gcmin:polyhalite	<https://www.mindat.org/1:1:3259:5>	07.CC.65
Polylithionite	1:1:3260:1	gcmin:polylithionite	<https://www.mindat.org/1:1:3260:1>	09.EC.20
Polyphite	1:1:3262:5	gcmin:polyphite	<https://www.mindat.org/1:1:3262:5>	09.BE.47
Ponomarevite	1:1:3263:2	gcmin:ponomarevite	<https://www.mindat.org/1:1:3263:2>	03.DA.35
Poppiite	1:1:27576:1	gcmin:poppiite	<https://www.mindat.org/1:1:27576:1>	09.BG.20
Portlandite	1:1:3264:9	gcmin:portlandite	<https://www.mindat.org/1:1:3264:9>	04.FE.05
Posnjakite	1:1:3265:6	gcmin:posnjakite	<https://www.mindat.org/1:1:3265:6>	07.DD.10
Postite	1:1:42268:8	gcmin:postite	<https://www.mindat.org/1:1:42268:8>	04.HC.55
Potarite	1:1:3266:3	gcmin:potarite	<https://www.mindat.org/1:1:3266:3>	01.AD.25
Potassic-arfvedsonite	1:1:27528:4	gcmin:potassic-arfvedsonite	<https://www.mindat.org/1:1:27528:4>	09.DE.25
Potassiccarpholite	1:1:25704:8	gcmin:potassiccarpholite	<https://www.mindat.org/1:1:25704:8>	09.DB.05
Potassic-chloro-hastingsite	1:1:27445:2	gcmin:potassic-chloro-hastingsite	<https://www.mindat.org/1:1:27445:2>	09.DE.15
Potassic-ferri-leakeite	1:1:11434:5	gcmin:potassic-ferri-leakeite	<https://www.mindat.org/1:1:11434:5>	09.DE.25
Potassic-ferro-ferri-sadanagaite	1:1:7033:7	gcmin:potassic-ferro-ferri-sadanagaite	<https://www.mindat.org/1:1:7033:7>	09.DE.15
Potassic-ferro-ferri-taramite	1:1:46123:4	gcmin:potassic-ferro-ferri-taramite	<https://www.mindat.org/1:1:46123:4>	09.DE.20
Potassic-ferro-pargasite	1:1:35789:8	gcmin:potassic-ferro-pargasite	<https://www.mindat.org/1:1:35789:8>	09.DE.15
Potassic-ferro-sadanagaite	1:1:7248:5	gcmin:potassic-ferro-sadanagaite	<https://www.mindat.org/1:1:7248:5>	09.DE.15
Potassic-fluoro-pargasite	1:1:42094:5	gcmin:potassic-fluoro-pargasite	<https://www.mindat.org/1:1:42094:5>	09.DE.15
Potassic-fluoro-richterite	1:1:7244:7	gcmin:potassic-fluoro-richterite	<https://www.mindat.org/1:1:7244:7>	09.DE.20
Potassic-jeanlouisite	1:1:53143:6	gcmin:potassic-jeanlouisite	<https://www.mindat.org/1:1:53143:6>	09.DE.25
Potassic-magnesio-arfvedsonite	1:1:30934:1	gcmin:potassic-magnesio-arfvedsonite	<https://www.mindat.org/1:1:30934:1>	09.DE.25
Potassic-magnesio-fluoro-arfvedsonite	1:1:29104:2	gcmin:potassic-magnesio-fluoro-arfvedsonite	<https://www.mindat.org/1:1:29104:2>	09.DE.25
Potassic-magnesio-hastingsite	1:1:30935:0	gcmin:potassic-magnesio-hastingsite	<https://www.mindat.org/1:1:30935:0>	09.DE.15
Potassic-mangani-leakeite	1:1:2255:8	gcmin:potassic-mangani-leakeite	<https://www.mindat.org/1:1:2255:8>	09.DE.25
Potassic-pargasite	1:1:7246:1	gcmin:potassic-pargasite	<https://www.mindat.org/1:1:7246:1>	09.DE.15
Potassic-richterite	1:1:7247:8	gcmin:potassic-richterite	<https://www.mindat.org/1:1:7247:8>	09.DE.20
Potassic-sadanagaite	1:1:7245:4	gcmin:potassic-sadanagaite	<https://www.mindat.org/1:1:7245:4>	09.DE.15
Pottsite	1:1:3270:0	gcmin:pottsite	<https://www.mindat.org/1:1:3270:0>	08.CG.25
Poubaite	1:1:3271:7	gcmin:poubaite	<https://www.mindat.org/1:1:3271:7>	02.GC.40c
Poudretteite	1:1:3272:4	gcmin:poudretteite	<https://www.mindat.org/1:1:3272:4>	09.CM.05
Poughite	1:1:3273:1	gcmin:poughite	<https://www.mindat.org/1:1:3273:1>	04.JN.10
Povondraite	1:1:3274:8	gcmin:povondraite	<https://www.mindat.org/1:1:3274:8>	09.CK.05
Powellite	1:1:3275:5	gcmin:powellite	<https://www.mindat.org/1:1:3275:5>	07.GA.05
Poyarkovite	1:1:3276:2	gcmin:poyarkovite	<https://www.mindat.org/1:1:3276:2>	03.DD.10
Pracha?ite	1:1:53208:2	gcmin:pracharite	<https://www.mindat.org/1:1:53208:2>	04.JD.20
Pradetite	1:1:30767:1	gcmin:pradetite	<https://www.mindat.org/1:1:30767:1>	08.CE.30
Prehnite	1:1:3277:9	gcmin:prehnite	<https://www.mindat.org/1:1:3277:9>	09.DP.20
Preisingerite	1:1:3278:6	gcmin:preisingerite	<https://www.mindat.org/1:1:3278:6>	08.BO.10
Preiswerkite	1:1:3279:3	gcmin:preiswerkite	<https://www.mindat.org/1:1:3279:3>	09.EC.20
Preobrazhenskite	1:1:3280:9	gcmin:preobrazhenskite	<https://www.mindat.org/1:1:3280:9>	06.GB.15
Pretulite	1:1:7251:5	gcmin:pretulite	<https://www.mindat.org/1:1:7251:5>	08.AD.35
Prewittite	1:1:26379:3	gcmin:prewittite	<https://www.mindat.org/1:1:26379:3>	04.JG
Príbramite	1:1:47784:6	gcmin:pribramite	<https://www.mindat.org/1:1:47784:6>	02.HA.05
Priceite	1:1:3281:6	gcmin:priceite	<https://www.mindat.org/1:1:3281:6>	06.EB.25
Priderite	1:1:3282:3	gcmin:priderite	<https://www.mindat.org/1:1:3282:3>	04.DK.05b
Pringleite	1:1:3283:0	gcmin:pringleite	<https://www.mindat.org/1:1:3283:0>	06.GD.05
Priscillagrewite-(Y)	1:1:54649:2	gcmin:priscillagrewite-y	<https://www.mindat.org/1:1:54649:2>	04.CC
Prismatine	1:1:7252:2	gcmin:prismatine	<https://www.mindat.org/1:1:7252:2>	09.BJ.50
Probertite	1:1:3285:4	gcmin:probertite	<https://www.mindat.org/1:1:3285:4>	06.EB.15
Proshchenkoite-(Y)	1:1:35971:7	gcmin:proshchenkoite-y	<https://www.mindat.org/1:1:35971:7>	09.AJ.35
Prosopite	1:1:3287:8	gcmin:prosopite	<https://www.mindat.org/1:1:3287:8>	03.CD.10
Prosperite	1:1:3288:5	gcmin:prosperite	<https://www.mindat.org/1:1:3288:5>	08.CA.60
Protasite	1:1:3289:2	gcmin:protasite	<https://www.mindat.org/1:1:3289:2>	04.GB.10
Proto-anthophyllite	1:1:11477:0	gcmin:proto-anthophyllite	<https://www.mindat.org/1:1:11477:0>	09.DD.05
Protochabournéite	1:1:42840:6	gcmin:protochabourneite	<https://www.mindat.org/1:1:42840:6>	02.HD.45
Proto-ferro-anthophyllite	1:1:7254:6	gcmin:proto-ferro-anthophyllite	<https://www.mindat.org/1:1:7254:6>	09.DD.05
Proudite	1:1:3293:9	gcmin:proudite	<https://www.mindat.org/1:1:3293:9>	02.JB.25d
Proustite	1:1:3294:6	gcmin:proustite	<https://www.mindat.org/1:1:3294:6>	02.GA.05
Przhevalskite	1:1:3295:3	gcmin:przhevalskite	<https://www.mindat.org/1:1:3295:3>	08.EB.10
Pseudoboleite	1:1:3301:1	gcmin:pseudoboleite	<https://www.mindat.org/1:1:3301:1>	03.DB.10
Pseudobrookite	1:1:3302:8	gcmin:pseudobrookite	<https://www.mindat.org/1:1:3302:8>	04.CB.15
Pseudocotunnite	1:1:3303:5	gcmin:pseudocotunnite	<https://www.mindat.org/1:1:3303:5>	03.AA.90
Pseudograndreefite	1:1:3298:4	gcmin:pseudograndreefite	<https://www.mindat.org/1:1:3298:4>	07.BD.65
Pseudojohannite	1:1:26289:1	gcmin:pseudojohannite	<https://www.mindat.org/1:1:26289:1>	07.EC.20
Pseudolaueite	1:1:3297:7	gcmin:pseudolaueite	<https://www.mindat.org/1:1:3297:7>	08.DC.30
Pseudolyonsite	1:1:40571:5	gcmin:pseudolyonsite	<https://www.mindat.org/1:1:40571:5>	08.AB.35
Pseudomalachite	1:1:3299:1	gcmin:pseudomalachite	<https://www.mindat.org/1:1:3299:1>	08.BD.05
Pseudorutile	1:1:3296:0	gcmin:pseudorutile	<https://www.mindat.org/1:1:3296:0>	04.CB.25
Pseudosinhalite	1:1:7257:7	gcmin:pseudosinhalite	<https://www.mindat.org/1:1:7257:7>	06.AC.10
Pseudowollastonite	1:1:9535:4	gcmin:pseudowollastonite	<https://www.mindat.org/1:1:9535:4>	09.CA.20
Pucherite	1:1:3306:6	gcmin:pucherite	<https://www.mindat.org/1:1:3306:6>	08.AD.40
Pumpellyite-(Al)	1:1:27439:1	gcmin:pumpellyite-al	<https://www.mindat.org/1:1:27439:1>	09.BG.20
Pumpellyite-(Fe<sup>2+</sup>)	1:1:3307:3	gcmin:pumpellyite-fe2	<https://www.mindat.org/1:1:3307:3>	09.BG.20
Pumpellyite-(Fe<sup>3+</sup>)	1:1:3308:0	gcmin:pumpellyite-fe3	<https://www.mindat.org/1:1:3308:0>	09.BG.20
Pumpellyite-(Mg)	1:1:3309:7	gcmin:pumpellyite-mg	<https://www.mindat.org/1:1:3309:7>	09.BG.20
Pumpellyite-(Mn<sup>2+</sup>)	1:1:3310:3	gcmin:pumpellyite-mn2	<https://www.mindat.org/1:1:3310:3>	09.BG.20
Punkaruaivite	1:1:38697:9	gcmin:punkaruaivite	<https://www.mindat.org/1:1:38697:9>	09.DB.15
Purpurite	1:1:3311:0	gcmin:purpurite	<https://www.mindat.org/1:1:3311:0>	08.AB.10
Pushcharovskite	1:1:7258:4	gcmin:pushcharovskite	<https://www.mindat.org/1:1:7258:4>	08.CA.55
Putnisite	1:1:42732:8	gcmin:putnisite	<https://www.mindat.org/1:1:42732:8>	05.DB.40
Putoranite	1:1:3312:7	gcmin:putoranite	<https://www.mindat.org/1:1:3312:7>	02.CB.10b
Putzite	1:1:26707:2	gcmin:putzite	<https://www.mindat.org/1:1:26707:2>	02.BA.70
Pyatenkoite-(Y)	1:1:7259:1	gcmin:pyatenkoite-y	<https://www.mindat.org/1:1:7259:1>	09.DM.10
Pyracmonite	1:1:38828:7	gcmin:pyracmonite	<https://www.mindat.org/1:1:38828:7>	07.AC.08
Pyrargyrite	1:1:3313:4	gcmin:pyrargyrite	<https://www.mindat.org/1:1:3313:4>	02.GA.05
Pyrite	1:1:3314:1	gcmin:pyrite	<https://www.mindat.org/1:1:3314:1>	02.EB.05a
Pyroaurite	1:1:3330:1	gcmin:pyroaurite	<https://www.mindat.org/1:1:3330:1>	05.DA.50
Pyrobelonite	1:1:3315:8	gcmin:pyrobelonite	<https://www.mindat.org/1:1:3315:8>	08.BH.40
Pyrochroite	1:1:3317:2	gcmin:pyrochroite	<https://www.mindat.org/1:1:3317:2>	04.FE.05
Pyrolusite	1:1:3318:9	gcmin:pyrolusite	<https://www.mindat.org/1:1:3318:9>	04.DB.05
Pyromorphite	1:1:3320:2	gcmin:pyromorphite	<https://www.mindat.org/1:1:3320:2>	08.BN.05
Pyrope	1:1:3321:9	gcmin:pyrope	<https://www.mindat.org/1:1:3321:9>	09.AD.25
Pyrophanite	1:1:3322:6	gcmin:pyrophanite	<https://www.mindat.org/1:1:3322:6>	04.CB.05
Pyrophyllite	1:1:3323:3	gcmin:pyrophyllite	<https://www.mindat.org/1:1:3323:3>	09.EC.10
Pyrosmalite-(Fe)	1:1:1525:3	gcmin:pyrosmalite-fe	<https://www.mindat.org/1:1:1525:3>	09.EE.10
Pyrosmalite-(Mn)	1:1:2491:0	gcmin:pyrosmalite-mn	<https://www.mindat.org/1:1:2491:0>	09.EE.10
Pyrostilpnite	1:1:3325:7	gcmin:pyrostilpnite	<https://www.mindat.org/1:1:3325:7>	02.GA.10
Pyroxferroite	1:1:3326:4	gcmin:pyroxferroite	<https://www.mindat.org/1:1:3326:4>	09.DO.05
Pyroxmangite	1:1:3327:1	gcmin:pyroxmangite	<https://www.mindat.org/1:1:3327:1>	09.DO.05
Pyrrhotite	1:1:3328:8	gcmin:pyrrhotite	<https://www.mindat.org/1:1:3328:8>	02.CC.10
Qandilite	1:1:3331:8	gcmin:qandilite	<https://www.mindat.org/1:1:3331:8>	04.BB.05
Qaqarssukite-(Ce)	1:1:27397:6	gcmin:qaqarssukite-ce	<https://www.mindat.org/1:1:27397:6>	05.BD.25
Qilianshanite	1:1:3332:5	gcmin:qilianshanite	<https://www.mindat.org/1:1:3332:5>	06.H.55
Qingheiite	1:1:3333:2	gcmin:qingheiite	<https://www.mindat.org/1:1:3333:2>	08.AC.15
Qingheiite-(Fe<sup>2+</sup>)	1:1:32381:9	gcmin:qingheiite-fe2	<https://www.mindat.org/1:1:32381:9>	08.AC.15
Qitianlingite	1:1:3334:9	gcmin:qitianlingite	<https://www.mindat.org/1:1:3334:9>	04.DB.35
Quadratite	1:1:7262:1	gcmin:quadratite	<https://www.mindat.org/1:1:7262:1>	02.GC.25
Quadridavyne	1:1:3335:6	gcmin:quadridavyne	<https://www.mindat.org/1:1:3335:6>	09.FB.05
Quadruphite	1:1:3336:3	gcmin:quadruphite	<https://www.mindat.org/1:1:3336:3>	09.BE.45
Quartz	1:1:3337:0	gcmin:quartz	<https://www.mindat.org/1:1:3337:0>	04.DA.05
Queitite	1:1:3339:4	gcmin:queitite	<https://www.mindat.org/1:1:3339:4>	09.BF.20
Quenselite	1:1:3340:0	gcmin:quenselite	<https://www.mindat.org/1:1:3340:0>	04.FE.30
Quenstedtite	1:1:3341:7	gcmin:quenstedtite	<https://www.mindat.org/1:1:3341:7>	07.CB.65
Quetzalcoatlite	1:1:3343:1	gcmin:quetzalcoatlite	<https://www.mindat.org/1:1:3343:1>	04.FE.45
Quintinite	1:1:7265:2	gcmin:quintinite	<https://www.mindat.org/1:1:7265:2>	05.DA.40
Qusongite	1:1:35898:5	gcmin:qusongite	<https://www.mindat.org/1:1:35898:5>	01.BA.25
Raadeite	1:1:7018:4	gcmin:raadeite	<https://www.mindat.org/1:1:7018:4>	08.BE.30
Rabbittite	1:1:3347:9	gcmin:rabbittite	<https://www.mindat.org/1:1:3347:9>	05.ED.25
Rabejacite	1:1:3348:6	gcmin:rabejacite	<https://www.mindat.org/1:1:3348:6>	07.EC.10
Radhakrishnaite	1:1:3349:3	gcmin:radhakrishnaite	<https://www.mindat.org/1:1:3349:3>	03.AA.50
Radovanite	1:1:11132:0	gcmin:radovanite	<https://www.mindat.org/1:1:11132:0>	08.CB.40
Radtkeite	1:1:3350:9	gcmin:radtkeite	<https://www.mindat.org/1:1:3350:9>	02.FC.15d
Radvaniceite	1:1:55604:6	gcmin:radvaniceite	<https://www.mindat.org/1:1:55604:6>	02.EA
Raguinite	1:1:3351:6	gcmin:raguinite	<https://www.mindat.org/1:1:3351:6>	02.CB.60
Raisaite	1:1:46425:9	gcmin:raisaite	<https://www.mindat.org/1:1:46425:9>	07.CB.55
Raite	1:1:3352:3	gcmin:raite	<https://www.mindat.org/1:1:3352:3>	09.EE.55
Rajite	1:1:3353:0	gcmin:rajite	<https://www.mindat.org/1:1:3353:0>	04.JK.20
Rakovanite	1:1:40447:9	gcmin:rakovanite	<https://www.mindat.org/1:1:40447:9>	04.HC.05
Ramanite-(Cs)	1:1:31663:3	gcmin:ramanite-cs	<https://www.mindat.org/1:1:31663:3>	06.EA.10
Ramanite-(Rb)	1:1:31662:4	gcmin:ramanite-rb	<https://www.mindat.org/1:1:31662:4>	06.EA.10
Rambergite	1:1:7268:3	gcmin:rambergite	<https://www.mindat.org/1:1:7268:3>	02.CB.45
Ramdohrite	1:1:3355:4	gcmin:ramdohrite	<https://www.mindat.org/1:1:3355:4>	02.JB.40a
Rameauite	1:1:3356:1	gcmin:rameauite	<https://www.mindat.org/1:1:3356:1>	04.GB.05
Ramikite-(Y)	1:1:39555:1	gcmin:ramikite-y	<https://www.mindat.org/1:1:39555:1>	05.BF.50
Rammelsbergite	1:1:3357:8	gcmin:rammelsbergite	<https://www.mindat.org/1:1:3357:8>	02.EB.15a
Ramsbeckite	1:1:3358:5	gcmin:ramsbeckite	<https://www.mindat.org/1:1:3358:5>	07.DD.60
Ramsdellite	1:1:3359:2	gcmin:ramsdellite	<https://www.mindat.org/1:1:3359:2>	04.DB.15a
Ranciéite	1:1:3360:8	gcmin:rancieite	<https://www.mindat.org/1:1:3360:8>	04.FL.40
Rankachite	1:1:3361:5	gcmin:rankachite	<https://www.mindat.org/1:1:3361:5>	07.GB.25
Rankamaite	1:1:3362:2	gcmin:rankamaite	<https://www.mindat.org/1:1:3362:2>	04.DM.05
Rankinite	1:1:3363:9	gcmin:rankinite	<https://www.mindat.org/1:1:3363:9>	09.BC.15
Ransomite	1:1:3364:6	gcmin:ransomite	<https://www.mindat.org/1:1:3364:6>	07.CB.80
Ranunculite	1:1:3365:3	gcmin:ranunculite	<https://www.mindat.org/1:1:3365:3>	08.EB.40
Rapidcreekite	1:1:3366:0	gcmin:rapidcreekite	<https://www.mindat.org/1:1:3366:0>	07.DG.20
Rappoldite	1:1:7044:3	gcmin:rappoldite	<https://www.mindat.org/1:1:7044:3>	08.CG.20
Raslakite	1:1:25687:2	gcmin:raslakite	<https://www.mindat.org/1:1:25687:2>	09.CO.10
Raspite	1:1:3368:4	gcmin:raspite	<https://www.mindat.org/1:1:3368:4>	04.DG.20
Rastsvetaevite	1:1:26586:1	gcmin:rastsvetaevite	<https://www.mindat.org/1:1:26586:1>	09.CO.10
Rasvumite	1:1:3369:1	gcmin:rasvumite	<https://www.mindat.org/1:1:3369:1>	02.FB.20
Rathite	1:1:3370:7	gcmin:rathite	<https://www.mindat.org/1:1:3370:7>	02.HC.05d
Rauchite	1:1:43270:0	gcmin:rauchite	<https://www.mindat.org/1:1:43270:0>	08.EB.05
Rauenthalite	1:1:3371:4	gcmin:rauenthalite	<https://www.mindat.org/1:1:3371:4>	08.CJ.40
Rauvite	1:1:3372:1	gcmin:rauvite	<https://www.mindat.org/1:1:3372:1>	04.HB.40
Ravatite	1:1:3373:8	gcmin:ravatite	<https://www.mindat.org/1:1:3373:8>	10.BA.40
Raydemarkite	1:1:56153:4	gcmin:raydemarkite	<https://www.mindat.org/1:1:56153:4>	04.FJ
Rayite	1:1:3374:5	gcmin:rayite	<https://www.mindat.org/1:1:3374:5>	02.HC.10d
Realgar	1:1:3375:2	gcmin:realgar	<https://www.mindat.org/1:1:3375:2>	02.FA.15a
Reaphookhillite	1:1:53368:3	gcmin:reaphookhillite	<https://www.mindat.org/1:1:53368:3>	08.CA.70
Rebulite	1:1:3376:9	gcmin:rebulite	<https://www.mindat.org/1:1:3376:9>	02.HD.25
Rectorite	1:1:3377:6	gcmin:rectorite	<https://www.mindat.org/1:1:3377:6>	09.EC.60
Redcanyonite	1:1:50786:4	gcmin:redcanyonite	<https://www.mindat.org/1:1:50786:4>	07.EC.05
Reddingite	1:1:3378:3	gcmin:reddingite	<https://www.mindat.org/1:1:3378:3>	08.CC.05
Redgillite	1:1:10349:1	gcmin:redgillite	<https://www.mindat.org/1:1:10349:1>	07.DD.70
Redingtonite	1:1:3379:0	gcmin:redingtonite	<https://www.mindat.org/1:1:3379:0>	07.CB.85
Redledgeite	1:1:3380:6	gcmin:redledgeite	<https://www.mindat.org/1:1:3380:6>	04.DK.05b
Redondite	1:1:27199:6	gcmin:redondite	<https://www.mindat.org/1:1:27199:6>	08.CD.10
Reederite-(Y)	1:1:3381:3	gcmin:reederite-y	<https://www.mindat.org/1:1:3381:3>	05.BF.20
Reedmergnerite	1:1:3382:0	gcmin:reedmergnerite	<https://www.mindat.org/1:1:3382:0>	09.FA.35
Reevesite	1:1:3383:7	gcmin:reevesite	<https://www.mindat.org/1:1:3383:7>	05.DA.50
Refikite	1:1:3384:4	gcmin:refikite	<https://www.mindat.org/1:1:3384:4>	10.CA.05
Reichenbachite	1:1:3385:1	gcmin:reichenbachite	<https://www.mindat.org/1:1:3385:1>	08.BD.05
Reidite	1:1:11467:3	gcmin:reidite	<https://www.mindat.org/1:1:11467:3>	09.AD.45
Reinerite	1:1:3386:8	gcmin:reinerite	<https://www.mindat.org/1:1:3386:8>	04.JA.10
Reinhardbraunsite	1:1:3387:5	gcmin:reinhardbraunsite	<https://www.mindat.org/1:1:3387:5>	09.AF.45
Rémondite-(Ce)	1:1:3388:2	gcmin:remondite-ce	<https://www.mindat.org/1:1:3388:2>	05.AD.15
Rémondite-(La)	1:1:11012:7	gcmin:remondite-la	<https://www.mindat.org/1:1:11012:7>	05.AD.15
Renardite	1:1:5219:7	gcmin:renardite	<https://www.mindat.org/1:1:5219:7>	08.EC.10
Rengeite	1:1:7063:4	gcmin:rengeite	<https://www.mindat.org/1:1:7063:4>	09.BE.70
Renierite	1:1:3389:9	gcmin:renierite	<https://www.mindat.org/1:1:3389:9>	02.CB.35a
Reppiaite	1:1:3390:5	gcmin:reppiaite	<https://www.mindat.org/1:1:3390:5>	08.BD.20
Retgersite	1:1:3489:6	gcmin:retgersite	<https://www.mindat.org/1:1:3489:6>	07.CB.30
Retzian-(Ce)	1:1:3392:9	gcmin:retzian-ce	<https://www.mindat.org/1:1:3392:9>	08.BM.05
Retzian-(La)	1:1:3393:6	gcmin:retzian-la	<https://www.mindat.org/1:1:3393:6>	08.BM.05
Retzian-(Nd)	1:1:3394:3	gcmin:retzian-nd	<https://www.mindat.org/1:1:3394:3>	08.BM.05
Revdite	1:1:3395:0	gcmin:revdite	<https://www.mindat.org/1:1:3395:0>	09.DM.30
Reyerite	1:1:3396:7	gcmin:reyerite	<https://www.mindat.org/1:1:3396:7>	09.EE.35
Reynoldsite	1:1:42233:2	gcmin:reynoldsite	<https://www.mindat.org/1:1:42233:2>	07.FB.30
Rhabdophane-(Ce)	1:1:3397:4	gcmin:rhabdophane-ce	<https://www.mindat.org/1:1:3397:4>	08.CJ.45
Rhabdophane-(La)	1:1:3398:1	gcmin:rhabdophane-la	<https://www.mindat.org/1:1:3398:1>	08.CJ.45
Rhabdophane-(Nd)	1:1:3399:8	gcmin:rhabdophane-nd	<https://www.mindat.org/1:1:3399:8>	08.CJ.45
Rhabdophane-(Y)	1:1:42532:0	gcmin:rhabdophane-y	<https://www.mindat.org/1:1:42532:0>	08.CJ.25
Rheniite	1:1:7269:0	gcmin:rheniite	<https://www.mindat.org/1:1:7269:0>	02.EB.35
Rhodarsenide	1:1:7270:6	gcmin:rhodarsenide	<https://www.mindat.org/1:1:7270:6>	02.AC.25b
Rhodesite	1:1:3403:2	gcmin:rhodesite	<https://www.mindat.org/1:1:3403:2>	09.EB.05
Rhodium	1:1:3404:9	gcmin:rhodium	<https://www.mindat.org/1:1:3404:9>	01.AF.10
Rhodizite	1:1:3405:6	gcmin:rhodizite	<https://www.mindat.org/1:1:3405:6>	06.GC.05
Rhodochrosite	1:1:3406:3	gcmin:rhodochrosite	<https://www.mindat.org/1:1:3406:3>	05.AB.05
Rhodonite	1:1:3407:0	gcmin:rhodonite	<https://www.mindat.org/1:1:3407:0>	09.DK.05
Rhodostannite	1:1:3408:7	gcmin:rhodostannite	<https://www.mindat.org/1:1:3408:7>	02.DA.10
Rhodplumsite	1:1:3409:4	gcmin:rhodplumsite	<https://www.mindat.org/1:1:3409:4>	02.BE.15
Rhomboclase	1:1:3410:0	gcmin:rhomboclase	<https://www.mindat.org/1:1:3410:0>	07.CB.55
Rhönite	1:1:3402:5	gcmin:rhonite	<https://www.mindat.org/1:1:3402:5>	09.DH.40
Ribbeite	1:1:3411:7	gcmin:ribbeite	<https://www.mindat.org/1:1:3411:7>	09.AF.65
Richardsite	1:1:54602:1	gcmin:richardsite	<https://www.mindat.org/1:1:54602:1>	02.CB
Richellite	1:1:3413:1	gcmin:richellite	<https://www.mindat.org/1:1:3413:1>	08.BB.90
Richelsdorfite	1:1:3414:8	gcmin:richelsdorfite	<https://www.mindat.org/1:1:3414:8>	08.DK
Richetite	1:1:3415:5	gcmin:richetite	<https://www.mindat.org/1:1:3415:5>	04.GB.15
Richterite	1:1:3416:2	gcmin:richterite	<https://www.mindat.org/1:1:3416:2>	09.DE.20
Rickardite	1:1:3417:9	gcmin:rickardite	<https://www.mindat.org/1:1:3417:9>	02.BA.30
Rickturnerite	1:1:40290:3	gcmin:rickturnerite	<https://www.mindat.org/1:1:40290:3>	03.DB
Riebeckite	1:1:3418:6	gcmin:riebeckite	<https://www.mindat.org/1:1:3418:6>	09.DE.25
Rietveldite	1:1:50771:2	gcmin:rietveldite	<https://www.mindat.org/1:1:50771:2>	07.EB.10
Rilandite	1:1:3419:3	gcmin:rilandite	<https://www.mindat.org/1:1:3419:3>	09.HB.10
Rimkorolgite	1:1:3420:9	gcmin:rimkorolgite	<https://www.mindat.org/1:1:3420:9>	08.CH.45
Ringwoodite	1:1:3421:6	gcmin:ringwoodite	<https://www.mindat.org/1:1:3421:6>	09.AC.15
Rinkite-(Ce)	1:1:3422:3	gcmin:rinkite-ce	<https://www.mindat.org/1:1:3422:3>	09
Rinkite-(Y)	1:1:52144:8	gcmin:rinkite-y	<https://www.mindat.org/1:1:52144:8>	09.BE.20
Rinmanite	1:1:10734:5	gcmin:rinmanite	<https://www.mindat.org/1:1:10734:5>	04.CB.40
Rinneite	1:1:3423:0	gcmin:rinneite	<https://www.mindat.org/1:1:3423:0>	03.CJ.05
Riomarinaite	1:1:27210:8	gcmin:riomarinaite	<https://www.mindat.org/1:1:27210:8>	07.DF.75
Rittmannite	1:1:3425:4	gcmin:rittmannite	<https://www.mindat.org/1:1:3425:4>	08.DH.15
Rivadavite	1:1:3426:1	gcmin:rivadavite	<https://www.mindat.org/1:1:3426:1>	06.FA.20
